"","2008/09 to 2010/11","2009/10 to 2011/12","2010/11 to 2012/13","2011/12 to 2013/14","2012/13 to 2014/15","2013/14 to 2015/16","2014/15 to 2016/17","2015/16 to 2017/18","2016/17 to 2018/19","2017/18 to 2019/20"
"Ethnicity","%","%","%","%","%","%","%","%","%","%"
"All","22","21","21","21","21","21","22","22","22","22"
"Asian","41","39","39","37","36","35","35","36","37","37"
"Bangladeshi","63","53","56","52","51","50","49","50","53","55"
"Chinese","31","40","46","49","38","35","29","33","34","30"
"Indian","30","27","25","24","26","24","24","24","24","24"
"Pakistani","52","52","48","46","44","46","48","46","46","47"
"Asian other","41","41","42","39","35","32","33","39","41","42"
"Black","42","39","39","41","40","40","41","42","42","40"
"Mixed","36","39","38","33","26","29","32","36","34","32"
"White","20","19","19","19","19","19","19","19","19","19"
"White British","19","19","18","18","18","19","19","19","19","19"
"White other","27","28","28","29","27","28","28","28","27","26"
"Other","42","42","40","41","44","46","44","42","40","40"
