"Age Bracket","Ethnicity","%"
"All","All","17"
"All","Asian","28"
"All","Bangladeshi","35"
"All","Chinese","25"
"All","Indian","18"
"All","Pakistani","41"
"All","Asian other","24"
"All","Black","27"
"All","Mixed","19"
"All","White","16"
"All","White British","16"
"All","White other","16"
"All","Other","27"
"Children","All","21"
"Children","Asian","34"
"Children","Bangladeshi","42"
"Children","Chinese","31"
"Children","Indian","18"
"Children","Pakistani","46"
"Children","Asian other","28"
"Children","Black","32"
"Children","Mixed","27"
"Children","White","19"
"Children","White British","18"
"Children","White other","22"
"Children","Other","36"
"Working-age","All","15"
"Working-age","Asian","25"
"Working-age","Bangladeshi","31"
"Working-age","Chinese","22"
"Working-age","Indian","15"
"Working-age","Pakistani","39"
"Working-age","Asian other","23"
"Working-age","Black","24"
"Working-age","Mixed","15"
"Working-age","White","14"
"Working-age","White British","14"
"Working-age","White other","13"
"Working-age","Other","24"
"Pensioners","All","18"
"Pensioners","Asian","32"
"Pensioners","Bangladeshi","?"
"Pensioners","Chinese","?"
"Pensioners","Indian","32"
"Pensioners","Pakistani","37"
"Pensioners","Asian other","?"
"Pensioners","Black","23"
"Pensioners","Mixed","?"
"Pensioners","White","18"
"Pensioners","White British","18"
"Pensioners","White other","22"
"Pensioners","Other","?"
