"Housing Cost","Ethnicity","%"
"Before Housing Costs","All","17"
"Before Housing Costs","Asian","28"
"Before Housing Costs","Bangladeshi","35"
"Before Housing Costs","Chinese","25"
"Before Housing Costs","Indian","18"
"Before Housing Costs","Pakistani","41"
"Before Housing Costs","Asian other","24"
"Before Housing Costs","Black","27"
"Before Housing Costs","Mixed","19"
"Before Housing Costs","White","16"
"Before Housing Costs","White British","16"
"Before Housing Costs","White other","16"
"Before Housing Costs","Other","27"
"After Housing Costs","All","22"
"After Housing Costs","Asian","37"
"After Housing Costs","Bangladeshi","55"
"After Housing Costs","Chinese","30"
"After Housing Costs","Indian","24"
"After Housing Costs","Pakistani","47"
"After Housing Costs","Asian other","42"
"After Housing Costs","Black","40"
"After Housing Costs","Mixed","32"
"After Housing Costs","White","19"
"After Housing Costs","White British","19"
"After Housing Costs","White other","26"
"After Housing Costs","Other","40"
