"Measure","Ethnicity","Category","Time","Value","Number"
"Percentage of honours recipients","All including Unknown","All","Jun-21","N/A","1129"
"Percentage of honours recipients","All excluding Unknown","All","Jun-21","100","1107"
"Percentage of honours recipients","Asian","All","Jun-21","6.775067751","75"
"Percentage of honours recipients","Indian","All","Jun-21","3.703703704","41"
"Percentage of honours recipients","Pakistani","All","Jun-21","1.08401084","12"
"Percentage of honours recipients","Bangladeshi","All","Jun-21","0.722673893","8"
"Percentage of honours recipients","Chinese","All","Jun-21","0.090334237","1"
"Percentage of honours recipients","Asian other","All","Jun-21","1.174345077","13"
"Percentage of honours recipients","Black","All","Jun-21","4.155374887","46"
"Percentage of honours recipients","Black Caribbean","All","Jun-21","1.89701897","21"
"Percentage of honours recipients","Black African","All","Jun-21","2.077687444","23"
"Percentage of honours recipients","Black other ","All","Jun-21","0.180668473","2"
"Percentage of honours recipients","Mixed","All","Jun-21","3.342366757","37"
"Percentage of honours recipients","Mixed White/Black Caribbean","All","Jun-21","1.174345077","13"
"Percentage of honours recipients","Mixed White/Black African","All","Jun-21","0.27100271","3"
"Percentage of honours recipients","Mixed White/Asian","All","Jun-21","0.993676603","11"
"Percentage of honours recipients","Mixed other","All","Jun-21","0.903342367","10"
"Percentage of honours recipients","White","All","Jun-21","85.00451671","941"
"Percentage of honours recipients","White British","All","Jun-21","82.0234869","908"
"Percentage of honours recipients","White other","All","Jun-21","2.98102981","33"
"Percentage of honours recipients","Any other","All","Jun-21","0.722673893","8"
"Percentage of honours recipients","Unknown ","All","Jun-21","!","22"
"Percentage of honours recipients","All including Unknown","Higher","Jun-21","N/A","35"
"Percentage of honours recipients","All excluding Unknown","Higher","Jun-21","100","33"
"Percentage of honours recipients","Asian","Higher","Jun-21","3.03030303","1"
"Percentage of honours recipients","Indian","Higher","Jun-21","3.03030303","1"
"Percentage of honours recipients","Pakistani","Higher","Jun-21","0","0"
"Percentage of honours recipients","Bangladeshi","Higher","Jun-21","0","0"
"Percentage of honours recipients","Chinese","Higher","Jun-21","0","0"
"Percentage of honours recipients","Asian other","Higher","Jun-21","0","0"
"Percentage of honours recipients","Black","Higher","Jun-21","0","0"
"Percentage of honours recipients","Black Caribbean","Higher","Jun-21","0","0"
"Percentage of honours recipients","Black African","Higher","Jun-21","0","0"
"Percentage of honours recipients","Black other ","Higher","Jun-21","0","0"
"Percentage of honours recipients","Mixed","Higher","Jun-21","0","0"
"Percentage of honours recipients","Mixed White/Black Caribbean","Higher","Jun-21","0","0"
"Percentage of honours recipients","Mixed White/Black African","Higher","Jun-21","0","0"
"Percentage of honours recipients","Mixed White/Asian","Higher","Jun-21","0","0"
"Percentage of honours recipients","Mixed other","Higher","Jun-21","0","0"
"Percentage of honours recipients","White","Higher","Jun-21","96.96969697","32"
"Percentage of honours recipients","White British","Higher","Jun-21","87.87878788","29"
"Percentage of honours recipients","White other","Higher","Jun-21","9.090909091","3"
"Percentage of honours recipients","Any other","Higher","Jun-21","0","0"
"Percentage of honours recipients","Unknown ","Higher","Jun-21","!","2"
"Percentage of honours recipients","All including Unknown","CBE","Jun-21","N/A","108"
"Percentage of honours recipients","All excluding Unknown","CBE","Jun-21","100","104"
"Percentage of honours recipients","Asian","CBE","Jun-21","7.692307692","8"
"Percentage of honours recipients","Indian","CBE","Jun-21","3.846153846","4"
"Percentage of honours recipients","Pakistani","CBE","Jun-21","0.961538462","1"
"Percentage of honours recipients","Bangladeshi","CBE","Jun-21","0","0"
"Percentage of honours recipients","Chinese","CBE","Jun-21","0","0"
"Percentage of honours recipients","Asian other","CBE","Jun-21","2.884615385","3"
"Percentage of honours recipients","Black","CBE","Jun-21","3.846153846","4"
"Percentage of honours recipients","Black Caribbean","CBE","Jun-21","1.923076923","2"
"Percentage of honours recipients","Black African","CBE","Jun-21","1.923076923","2"
"Percentage of honours recipients","Black other ","CBE","Jun-21","0","0"
"Percentage of honours recipients","Mixed","CBE","Jun-21","3.846153846","4"
"Percentage of honours recipients","Mixed White/Black Caribbean","CBE","Jun-21","3.846153846","4"
"Percentage of honours recipients","Mixed White/Black African","CBE","Jun-21","0","0"
"Percentage of honours recipients","Mixed White/Asian","CBE","Jun-21","0","0"
"Percentage of honours recipients","Mixed other","CBE","Jun-21","0","0"
"Percentage of honours recipients","White","CBE","Jun-21","84.61538462","88"
"Percentage of honours recipients","White British","CBE","Jun-21","76.92307692","80"
"Percentage of honours recipients","White other","CBE","Jun-21","7.692307692","8"
"Percentage of honours recipients","Any other","CBE","Jun-21","0","0"
"Percentage of honours recipients","Unknown ","CBE","Jun-21","!","4"
"Percentage of honours recipients","All including Unknown","OBE","Jun-21","N/A","206"
"Percentage of honours recipients","All excluding Unknown","OBE","Jun-21","100","198"
"Percentage of honours recipients","Asian","OBE","Jun-21","6.565656566","13"
"Percentage of honours recipients","Indian","OBE","Jun-21","3.535353535","7"
"Percentage of honours recipients","Pakistani","OBE","Jun-21","1.01010101","2"
"Percentage of honours recipients","Bangladeshi","OBE","Jun-21","0.505050505","1"
"Percentage of honours recipients","Chinese","OBE","Jun-21","0","0"
"Percentage of honours recipients","Asian other","OBE","Jun-21","1.515151515","3"
"Percentage of honours recipients","Black","OBE","Jun-21","4.545454545","9"
"Percentage of honours recipients","Black Caribbean","OBE","Jun-21","2.525252525","5"
"Percentage of honours recipients","Black African","OBE","Jun-21","2.02020202","4"
"Percentage of honours recipients","Black other ","OBE","Jun-21","0","0"
"Percentage of honours recipients","Mixed","OBE","Jun-21","5.555555556","11"
"Percentage of honours recipients","Mixed White/Black Caribbean","OBE","Jun-21","1.515151515","3"
"Percentage of honours recipients","Mixed White/Black African","OBE","Jun-21","1.01010101","2"
"Percentage of honours recipients","Mixed White/Asian","OBE","Jun-21","1.515151515","3"
"Percentage of honours recipients","Mixed other","OBE","Jun-21","1.515151515","3"
"Percentage of honours recipients","White","OBE","Jun-21","82.32323232","163"
"Percentage of honours recipients","White British","OBE","Jun-21","81.31313131","161"
"Percentage of honours recipients","White other","OBE","Jun-21","1.01010101","2"
"Percentage of honours recipients","Any other","OBE","Jun-21","1.01010101","2"
"Percentage of honours recipients","Unknown ","OBE","Jun-21","!","8"
"Percentage of honours recipients","All including Unknown","MBE","Jun-21","N/A","457"
"Percentage of honours recipients","All excluding Unknown","MBE","Jun-21","100","451"
"Percentage of honours recipients","Asian","MBE","Jun-21","6.873614191","31"
"Percentage of honours recipients","Indian","MBE","Jun-21","4.21286031","19"
"Percentage of honours recipients","Pakistani","MBE","Jun-21","0.66518847","3"
"Percentage of honours recipients","Bangladeshi","MBE","Jun-21","0.88691796","4"
"Percentage of honours recipients","Chinese","MBE","Jun-21","0","0"
"Percentage of honours recipients","Asian other","MBE","Jun-21","1.10864745","5"
"Percentage of honours recipients","Black","MBE","Jun-21","4.21286031","19"
"Percentage of honours recipients","Black Caribbean","MBE","Jun-21","1.55210643","7"
"Percentage of honours recipients","Black African","MBE","Jun-21","2.2172949","10"
"Percentage of honours recipients","Black other ","MBE","Jun-21","0.44345898","2"
"Percentage of honours recipients","Mixed","MBE","Jun-21","3.76940133","17"
"Percentage of honours recipients","Mixed White/Black Caribbean","MBE","Jun-21","0.88691796","4"
"Percentage of honours recipients","Mixed White/Black African","MBE","Jun-21","0.22172949","1"
"Percentage of honours recipients","Mixed White/Asian","MBE","Jun-21","1.77383592","8"
"Percentage of honours recipients","Mixed other","MBE","Jun-21","0.88691796","4"
"Percentage of honours recipients","White","MBE","Jun-21","84.25720621","380"
"Percentage of honours recipients","White British","MBE","Jun-21","80.93126386","365"
"Percentage of honours recipients","White other","MBE","Jun-21","3.32594235","15"
"Percentage of honours recipients","Any other","MBE","Jun-21","0.88691796","4"
"Percentage of honours recipients","Unknown ","MBE","Jun-21","!","6"
"Percentage of honours recipients","All including Unknown","BEM","Jun-21","N/A","323"
"Percentage of honours recipients","All excluding Unknown","BEM","Jun-21","100","321"
"Percentage of honours recipients","Asian","BEM","Jun-21","6.853582555","22"
"Percentage of honours recipients","Indian","BEM","Jun-21","3.115264798","10"
"Percentage of honours recipients","Pakistani","BEM","Jun-21","1.869158879","6"
"Percentage of honours recipients","Bangladeshi","BEM","Jun-21","0.934579439","3"
"Percentage of honours recipients","Chinese","BEM","Jun-21","0.31152648","1"
"Percentage of honours recipients","Asian other","BEM","Jun-21","0.62305296","2"
"Percentage of honours recipients","Black","BEM","Jun-21","4.361370717","14"
"Percentage of honours recipients","Black Caribbean","BEM","Jun-21","2.180685358","7"
"Percentage of honours recipients","Black African","BEM","Jun-21","2.180685358","7"
"Percentage of honours recipients","Black other ","BEM","Jun-21","0","0"
"Percentage of honours recipients","Mixed","BEM","Jun-21","1.557632399","5"
"Percentage of honours recipients","Mixed White/Black Caribbean","BEM","Jun-21","0.62305296","2"
"Percentage of honours recipients","Mixed White/Black African","BEM","Jun-21","0","0"
"Percentage of honours recipients","Mixed White/Asian","BEM","Jun-21","0","0"
"Percentage of honours recipients","Mixed other","BEM","Jun-21","0.934579439","3"
"Percentage of honours recipients","White","BEM","Jun-21","86.60436137","278"
"Percentage of honours recipients","White British","BEM","Jun-21","85.04672897","273"
"Percentage of honours recipients","White other","BEM","Jun-21","1.557632399","5"
"Percentage of honours recipients","Any other","BEM","Jun-21","0.62305296","2"
"Percentage of honours recipients","Unknown ","BEM","Jun-21","!","2"
"Percentage of honours recipients","All including Unknown","All","Dec-20","N/A","1239"
"Percentage of honours recipients","All excluding Unknown","All","Dec-20","100","1150"
"Percentage of honours recipients","Asian","All","Dec-20","7.565217391","87"
"Percentage of honours recipients","Indian","All","Dec-20","3.47826087","40"
"Percentage of honours recipients","Pakistani","All","Dec-20","1.739130435","20"
"Percentage of honours recipients","Bangladeshi","All","Dec-20","0.869565217","10"
"Percentage of honours recipients","Chinese","All","Dec-20","0.173913043","2"
"Percentage of honours recipients","Asian other","All","Dec-20","1.304347826","15"
"Percentage of honours recipients","Black","All","Dec-20","3.043478261","35"
"Percentage of honours recipients","Black Caribbean","All","Dec-20","1.913043478","22"
"Percentage of honours recipients","Black African","All","Dec-20","0.956521739","11"
"Percentage of honours recipients","Black other ","All","Dec-20","0.173913043","2"
"Percentage of honours recipients","Mixed","All","Dec-20","2.260869565","26"
"Percentage of honours recipients","Mixed White/Black Caribbean","All","Dec-20","0.52173913","6"
"Percentage of honours recipients","Mixed White/Black African","All","Dec-20","0.347826087","4"
"Percentage of honours recipients","Mixed White/Asian","All","Dec-20","0.52173913","6"
"Percentage of honours recipients","Mixed other","All","Dec-20","0.869565217","10"
"Percentage of honours recipients","White","All","Dec-20","85.65217391","985"
"Percentage of honours recipients","White British","All","Dec-20","85.65217391","985"
"Percentage of honours recipients","White other","All","Dec-20","0","0"
"Percentage of honours recipients","Any other","All","Dec-20","1.47826087","17"
"Percentage of honours recipients","Unknown ","All","Dec-20","!","89"
"Percentage of honours recipients","All including Unknown","Higher","Dec-20","N/A","30"
"Percentage of honours recipients","All excluding Unknown","Higher","Dec-20","100","30"
"Percentage of honours recipients","Asian","Higher","Dec-20","0","0"
"Percentage of honours recipients","Indian","Higher","Dec-20","0","0"
"Percentage of honours recipients","Pakistani","Higher","Dec-20","0","0"
