"Measure","Ethnicity","Ethnicity_type","Category","Time","Time_type","Value","Value_type","Number"
"Percentage of honours recipients","All Excluding Unknown","All","All","Jun-22","Queen's Birthday Honours","100","%","1032"
"Percentage of honours recipients","All Excluding Unknown","All","BEM","Jun-22","Queen's Birthday Honours","100","%","282"
"Percentage of honours recipients","All Excluding Unknown","All","CBE","Jun-22","Queen's Birthday Honours","100","%","84"
"Percentage of honours recipients","All Excluding Unknown","All","Higher","Jun-22","Queen's Birthday Honours","100","%","42"
"Percentage of honours recipients","All Excluding Unknown","All","MBE","Jun-22","Queen's Birthday Honours","100","%","400"
"Percentage of honours recipients","All Excluding Unknown","All","OBE","Jun-22","Queen's Birthday Honours","100","%","224"
"Percentage of honours recipients","All Including Unknown","All","All","Jun-22","Queen's Birthday Honours","NA","%","1040"
"Percentage of honours recipients","All Including Unknown","All","BEM","Jun-22","Queen's Birthday Honours","NA","%","282"
"Percentage of honours recipients","All Including Unknown","All","CBE","Jun-22","Queen's Birthday Honours","NA","%","90"
"Percentage of honours recipients","All Including Unknown","All","Higher","Jun-22","Queen's Birthday Honours","NA","%","43"
"Percentage of honours recipients","All Including Unknown","All","MBE","Jun-22","Queen's Birthday Honours","NA","%","400"
"Percentage of honours recipients","All Including Unknown","All","OBE","Jun-22","Queen's Birthday Honours","NA","%","225"
"Percentage of honours recipients","Any Other","ONS 2001 5+1","All","Jun-22","Queen's Birthday Honours","0.4","%","4"
"Percentage of honours recipients","Any Other","ONS 2001 5+1","BEM","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Any Other","ONS 2001 5+1","CBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Any Other","ONS 2001 5+1","Higher","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Any Other","ONS 2001 5+1","MBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Any Other","ONS 2001 5+1","OBE","Jun-22","Queen's Birthday Honours","1.8","%","4"
"Percentage of honours recipients","Any Other","ONS 2001 16+1","All","Jun-22","Queen's Birthday Honours","0.4","%","4"
"Percentage of honours recipients","Any Other","ONS 2001 16+1","BEM","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Any Other","ONS 2001 16+1","CBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Any Other","ONS 2001 16+1","Higher","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Any Other","ONS 2001 16+1","MBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Any Other","ONS 2001 16+1","OBE","Jun-22","Queen's Birthday Honours","1.8","%","4"
"Percentage of honours recipients","Asian","ONS 2001 5+1","All","Jun-22","Queen's Birthday Honours","7.5","%","77"
"Percentage of honours recipients","Asian","ONS 2001 5+1","BEM","Jun-22","Queen's Birthday Honours","5","%","14"
"Percentage of honours recipients","Asian","ONS 2001 5+1","CBE","Jun-22","Queen's Birthday Honours","3.6","%","3"
"Percentage of honours recipients","Asian","ONS 2001 5+1","Higher","Jun-22","Queen's Birthday Honours","4.8","%","2"
"Percentage of honours recipients","Asian","ONS 2001 5+1","MBE","Jun-22","Queen's Birthday Honours","9.3","%","37"
"Percentage of honours recipients","Asian","ONS 2001 5+1","OBE","Jun-22","Queen's Birthday Honours","9.4","%","21"
"Percentage of honours recipients","Asian Other","ONS 2001 16+1","All","Jun-22","Queen's Birthday Honours","0.8","%","8"
"Percentage of honours recipients","Asian Other","ONS 2001 16+1","BEM","Jun-22","Queen's Birthday Honours","1.4","%","4"
"Percentage of honours recipients","Asian Other","ONS 2001 16+1","CBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Asian Other","ONS 2001 16+1","Higher","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Asian Other","ONS 2001 16+1","MBE","Jun-22","Queen's Birthday Honours","0.5","%","2"
"Percentage of honours recipients","Asian Other","ONS 2001 16+1","OBE","Jun-22","Queen's Birthday Honours","0.9","%","2"
"Percentage of honours recipients","Bangladeshi","ONS 2001 16+1","All","Jun-22","Queen's Birthday Honours","0.7","%","7"
"Percentage of honours recipients","Bangladeshi","ONS 2001 16+1","BEM","Jun-22","Queen's Birthday Honours","1.1","%","3"
"Percentage of honours recipients","Bangladeshi","ONS 2001 16+1","CBE","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Bangladeshi","ONS 2001 16+1","Higher","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Bangladeshi","ONS 2001 16+1","MBE","Jun-22","Queen's Birthday Honours","0.5","%","2"
"Percentage of honours recipients","Bangladeshi","ONS 2001 16+1","OBE","Jun-22","Queen's Birthday Honours","0.9","%","2"
"Percentage of honours recipients","Black","ONS 2001 5+1","All","Jun-22","Queen's Birthday Honours","4.7","%","49"
"Percentage of honours recipients","Black","ONS 2001 5+1","BEM","Jun-22","Queen's Birthday Honours","2.5","%","7"
"Percentage of honours recipients","Black","ONS 2001 5+1","CBE","Jun-22","Queen's Birthday Honours","3.6","%","3"
"Percentage of honours recipients","Black","ONS 2001 5+1","Higher","Jun-22","Queen's Birthday Honours","2.4","%","1"
"Percentage of honours recipients","Black","ONS 2001 5+1","MBE","Jun-22","Queen's Birthday Honours","7.3","%","29"
"Percentage of honours recipients","Black","ONS 2001 5+1","OBE","Jun-22","Queen's Birthday Honours","4","%","9"
"Percentage of honours recipients","Black African","ONS 2001 16+1","All","Jun-22","Queen's Birthday Honours","1.6","%","17"
"Percentage of honours recipients","Black African","ONS 2001 16+1","BEM","Jun-22","Queen's Birthday Honours","0.7","%","2"
"Percentage of honours recipients","Black African","ONS 2001 16+1","CBE","Jun-22","Queen's Birthday Honours","1.2","%","1"
"Percentage of honours recipients","Black African","ONS 2001 16+1","Higher","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Black African","ONS 2001 16+1","MBE","Jun-22","Queen's Birthday Honours","3","%","12"
"Percentage of honours recipients","Black African","ONS 2001 16+1","OBE","Jun-22","Queen's Birthday Honours","0.9","%","2"
"Percentage of honours recipients","Black Caribbean","ONS 2001 16+1","All","Jun-22","Queen's Birthday Honours","3.1","%","32"
"Percentage of honours recipients","Black Caribbean","ONS 2001 16+1","BEM","Jun-22","Queen's Birthday Honours","1.8","%","5"
"Percentage of honours recipients","Black Caribbean","ONS 2001 16+1","CBE","Jun-22","Queen's Birthday Honours","2.4","%","2"
"Percentage of honours recipients","Black Caribbean","ONS 2001 16+1","Higher","Jun-22","Queen's Birthday Honours","2.4","%","1"
"Percentage of honours recipients","Black Caribbean","ONS 2001 16+1","MBE","Jun-22","Queen's Birthday Honours","4.3","%","17"
"Percentage of honours recipients","Black Caribbean","ONS 2001 16+1","OBE","Jun-22","Queen's Birthday Honours","3.1","%","7"
"Percentage of honours recipients","Black Other","ONS 2001 16+1","All","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Black Other","ONS 2001 16+1","BEM","Jun-22","Queen's Birthday Honours","0","%","0"
"Percentage of honours recipients","Black Other","ONS 2001 16+1","CBE","Jun-22","Queen's Birthday Honours","0","%","0"
