"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","Denominator"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","64","71324"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","8","71324"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","2","71324"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","2","71324"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","7","71324"
"Share of income made up by Private pensions by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","7","71324"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","1","71324"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","6","71324"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","3","71324"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","64","66117"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","8","66117"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","2","66117"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","2","66117"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","7","66117"
"Share of income made up by Private pensions by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","8","66117"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","1","66117"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","5","66117"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","2","66117"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","63","63385"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","8","63385"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","2","63385"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","2","63385"
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","8","63385"
"Share of income made up by Private pensions by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","8","63385"
"Share of income made up by Disability benefits by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","2","63385"
"Share of income made up by Other benefits by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","6","63385"
"Share of income made up by Other sources by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","2","63385"
"Share of income made up by Wages and salaries by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","71","2732"
"Share of income made up by Self-employed
 income by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","12","2732"
"Share of income made up by Investments by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","1","2732"
"Share of income made up by Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","White Other","ONS 5+2","2","2732"
