"Income source","Ethnicity","Value"
"Wages and salaries","All","63"
"Wages and salaries","Asian","68"
"Wages and salaries","Bangladeshi","58"
"Wages and salaries","Chinese","56"
"Wages and salaries","Indian","76"
"Wages and salaries","Pakistani","56"
"Wages and salaries","Asian other","66"
"Wages and salaries","Black","66"
"Wages and salaries","Mixed","73"
"Wages and salaries","White","63"
"Wages and salaries","White British","62"
"Wages and salaries","White other","74"
"Wages and salaries","Other","68"
"Self-employed income","All","9"
"Self-employed income","Asian","11"
"Self-employed income","Bangladeshi","7"
"Self-employed income","Chinese","11"
"Self-employed income","Indian","10"
"Self-employed income","Pakistani","14"
"Self-employed income","Asian other","10"
"Self-employed income","Black","8"
"Self-employed income","Mixed","6"
"Self-employed income","White","9"
"Self-employed income","White British","9"
"Self-employed income","White other","13"
"Self-employed income","Other","11"
"All other sources","All","26"
"All other sources","Asian","22"
"All other sources","Bangladeshi","35"
"All other sources","Chinese","35"
"All other sources","Indian","14"
"All other sources","Pakistani","30"
"All other sources","Asian other","24"
"All other sources","Black","24"
"All other sources","Mixed","22"
"All other sources","White","29"
"All other sources","White British","30"
"All other sources","White other","13"
"All other sources","Other","21"
