"Age Bracket","Ethnicity","%","Number of Respondents"
"16-24","All","76","11,628"
"16-24","Asian","66","977"
"16-24","Black","69","386"
"16-24","Chinese","66","151"
"16-24","Mixed","76","470"
"16-24","White British","78","8,514"
"16-24","White other","81","614"
"16-24","Other","70","125"
"25-34","All","68","23,178"
"25-34","Asian","55","1,592"
"25-34","Black","59","407"
"25-34","Chinese","63","248"
"25-34","Mixed","73","512"
"25-34","White British","71","16,887"
"25-34","White other","67","2,455"
"25-34","Other","63","234"
"35-44","All","66","28,899"
"35-44","Asian","54","2,156"
"35-44","Black","53","599"
"35-44","Chinese","54","250"
"35-44","Mixed","73","442"
"35-44","White British","70","21,109"
"35-44","White other","65","2,875"
"35-44","Other","48","373"
"45-54","All","65","31,499"
"45-54","Asian","49","1,165"
"45-54","Black","54","621"
"45-54","Chinese","59","133"
"45-54","Mixed","63","314"
"45-54","White British","67","26,472"
"45-54","White other","63","1,496"
"45-54","Other","58","240"
"55-64","All","60","35,126"
"55-64","Asian","47","649"
"55-64","Black","47","364"
"55-64","Chinese","50","128"
"55-64","Mixed","59","171"
"55-64","White British","61","31,531"
"55-64","White other","65","1,026"
"55-64","Other","50","174"
"65-74","All","57","35,307"
"65-74","Asian","44","455"
"65-74","Black","51","132"
"65-74","Chinese","?","?"
"65-74","Mixed","60","70"
"65-74","White British","58","32,633"
"65-74","White other","54","830"
"65-74","Other","61","122"
"75+","All","35","18,385"
"75+","Asian","32","221"
"75+","Black","?","?"
"75+","Chinese","?","?"
"75+","Mixed","?","?"
"75+","White British","35","16,867"
"75+","White other","39","366"
"75+","Other","?","?"
