"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","CI lower","CI upper","Sample size",""
"All Domestic Abuse","White","ONS 2011 5 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","6.3","%","5.7","6.9","8439",""
"All Domestic Abuse","White British","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","6.7","%","6.1","7.3","7595",""
"All Domestic Abuse","White Irish","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","-","%","-","-","~",""
"All Domestic Abuse","White Gypsy or Irish Traveller","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","-","%","-","-","~",""
"All Domestic Abuse","White: Other White","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","3.0","%","1.7","4.4","794",""
"All Domestic Abuse","Mixed","ONS 2011 5 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","13.7","%","8.0","19.5","164",""
"All Domestic Abuse","Mixed White and Black Caribbean","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","18.8","%","7.7","29.9","53",""
"All Domestic Abuse","Mixed White and Black African","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","-","%","-","-","~",""
"All Domestic Abuse","Mixed White and Asian","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","-","%","-","-","~",""
"All Domestic Abuse","Mixed Other","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","-","%","-","-","40",""
"All Domestic Abuse","Asian","ONS 2011 5 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","4.1","%","2.4","5.8","706",""
"All Domestic Abuse","Indian","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","4.5","%","1.9","7.1","272",""
"All Domestic Abuse","Pakistani","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","4.6","%","0.7","8.5","171",""
"All Domestic Abuse","Bangladeshi","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","1.1","%","0.0","2.9","75",""
"All Domestic Abuse","Chinese","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","2.4","%","0.0","5.1","60",""
"All Domestic Abuse","Asian Other","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","5.6","%","0.3","10.9","128",""
"All Domestic Abuse","Black","ONS 2011 5 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","7.4","%","4.3","10.5","319",""
"All Domestic Abuse","Black African","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","5.6","%","2.6","8.7","213",""
"All Domestic Abuse","Black Caribbean","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","~","%","~","~","~",""
"All Domestic Abuse","Black Other","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","-","%","-","-","~",""
"All Domestic Abuse","Other","ONS 2011 5 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","7.3","%","1.5","13.1","102",""
"All Domestic Abuse","Arab","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","-","%","-","-","~",""
"All Domestic Abuse","Any Other","ONS 2011 18 + 1","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","~","%","~","~","~",""
"All Domestic Abuse","All","All","Apr '18 to Mar '19","Year","England and Wales","Region","K04000001","All","16-59","6.3","%","5.8","6.9","9745",""
"All Domestic Abuse","White","ONS 2011 5 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","6.2","%","5.6","6.8","8721",""
"All Domestic Abuse","White British","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","6.5","%","5.9","7.1","7936",""
"All Domestic Abuse","White Irish","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","10.1","%","1.2","18.9","61",""
"All Domestic Abuse","White Gypsy or Irish Traveller","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","-","%","-","-","6",""
"All Domestic Abuse","White: Other White","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","3.2","%","1.9","4.6","718",""
"All Domestic Abuse","Mixed","ONS 2011 5 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","6.5","%","2.8","10.2","141",""
"All Domestic Abuse","Mixed White and Black Caribbean","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","7.6","%","0.8","14.4","50",""
"All Domestic Abuse","Mixed White and Black African","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","-","%","-","-","23",""
"All Domestic Abuse","Mixed White and Asian","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","-","%","-","-","34",""
"All Domestic Abuse","Mixed Other","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","-","%","-","-","34",""
"All Domestic Abuse","Asian","ONS 2011 5 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","4.9","%","3.0","6.9","737",""
"All Domestic Abuse","Indian","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","4.8","%","1.9","7.6","293",""
"All Domestic Abuse","Pakistani","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","4.5","%","0.6","8.4","191",""
"All Domestic Abuse","Bangladeshi","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","2.8","%","0.0","6.1","64",""
"All Domestic Abuse","Chinese","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","11.4","%","0.8","22.0","61",""
"All Domestic Abuse","Asian Other","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","4.1","%","0.0","8.6","128",""
"All Domestic Abuse","Black","ONS 2011 5 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","6.1","%","2.9","9.2","334",""
"All Domestic Abuse","Black African","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","4.7","%","1.5","8.0","194",""
"All Domestic Abuse","Black Caribbean","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","6.9","%","0.7","13.2","115",""
"All Domestic Abuse","Black Other","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","-","%","-","-","25",""
"All Domestic Abuse","Other","ONS 2011 5 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","2.5","%","0.3","4.8","108",""
"All Domestic Abuse","Arab","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","-","%","-","-","43",""
"All Domestic Abuse","Any Other","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","3.6","%","0.0","7.1","65",""
"All Domestic Abuse","All","All","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-59","6.1","%","5.5","6.6","10046",""
"All Domestic Abuse","White","ONS 2011 5 + 1","Apr '16 to Mar '17","Year","England and Wales","Region","K04000001","All","16-59","6.2","%","5.8","6.6","17958",""
"All Domestic Abuse","White British","ONS 2011 18 + 1","Apr '16 to Mar '17","Year","England and Wales","Region","K04000001","All","16-59","6.4","%","6.0","6.8","16333",""
"All Domestic Abuse","White Irish","ONS 2011 18 + 1","Apr '16 to Mar '17","Year","England and Wales","Region","K04000001","All","16-59","4.9","%","1.1","8.7","135",""
"All Domestic Abuse","White Gypsy or Irish Traveller","ONS 2011 18 + 1","Apr '16 to Mar '17","Year","England and Wales","Region","K04000001","All","16-59","-","%","-","-","10",""
"All Domestic Abuse","White: Other White","ONS 2011 18 + 1","Apr '16 to Mar '17","Year","England and Wales","Region","K04000001","All","16-59","3.8","%","2.7","4.8","1480",""
"All Domestic Abuse","Mixed","ONS 2011 5 + 1","Apr '16 to Mar '17","Year","England and Wales","Region","K04000001","All","16-59","10.8","%","6.7","14.8","290",""
"All Domestic Abuse","Mixed White and Black Caribbean","ONS 2011 18 + 1","Apr '16 to Mar '17","Year","England and Wales","Region","K04000001","All","16-59","6.4","%","1.3","11.4","95",""
"All Domestic Abuse","Mixed White and Black African","ONS 2011 18 + 1","Apr '16 to Mar '17","Year","England and Wales","Region","K04000001","All","16-59","-","%","-","-","45",""
"All Domestic Abuse","Mixed White and Asian","ONS 2011 18 + 1","Apr '16 to Mar '17","Year","England and Wales","Region","K04000001","All","16-59","18.4","%","8.3","28.4","80",""
"All Domestic Abuse","Mixed Other","ONS 2011 18 + 1","Apr '16 to Mar '17","Year","England and Wales","Region","K04000001","All","16-59","8.2","%","2.1","14.4","70",""
"All Domestic Abuse","Asian","ONS 2011 5 + 1","Apr '16 to Mar '17","Year","England and Wales","Region","K04000001","All","16-59","2.0","%","1.2","2.8","1386",""
