"Measure","Measure_type","Ethnicity","Ethnicity_type","Time","Time_Type","Region","Value","Value_Type","confidence_interval","Numerator","denominator","samp_size"
"0-3 months","Length of time spent in unemployment","All","All","2004","year","All","48","%","1","656500","1379000","10603"
"0-3 months","Length of time spent in unemployment","All","All","2004","year","East Midlands","48","%","3.5","44200","91200","791"
"0-3 months","Length of time spent in unemployment","All","All","2004","year","East of England","53","%","3.3","54700","103600","854"
"0-3 months","Length of time spent in unemployment","All","All","2004","year","London","40","%","3","108000","273100","1005"
"0-3 months","Length of time spent in unemployment","All","All","2004","year","North East","47","%","3.4","32400","69000","852"
"0-3 months","Length of time spent in unemployment","All","All","2004","year","North West","45","%","2.8","68200","152900","1244"
"0-3 months","Length of time spent in unemployment","All","All","2004","year","Scotland","44","%","2.7","60100","137100","1293"
"0-3 months","Length of time spent in unemployment","All","All","2004","year","South East","56","%","2.7","87400","156700","1260"
"0-3 months","Length of time spent in unemployment","All","All","2004","year","South West","53","%","3.4","44900","85200","805"
"0-3 months","Length of time spent in unemployment","All","All","2004","year","Wales","53","%","3.2","34400","65300","926"
"0-3 months","Length of time spent in unemployment","All","All","2004","year","West Midlands","49","%","3.3","65000","133900","888"
"0-3 months","Length of time spent in unemployment","All","All","2004","year","Yorkshire and The Humber","52","%","3.7","57300","111100","685"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2004","year","All","43","%","4.4","105300","243300","1192"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2004","year","East Midlands","50","%","17.2","5800","11800","81"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2004","year","East of England","50","%","17.3","5000","9900","80"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2004","year","London","36","%","7.1","44100","121800","437"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2004","year","North East","62","%","27.5","1700","2800","30"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2004","year","North West","34","%","13.9","5600","16400","111"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2004","year","Scotland","44","%","27.6","2100","4700","31"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2004","year","South East","63","%","12.7","10400","16700","139"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2004","year","South West","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2004","year","Wales","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2004","year","West Midlands","50","%","12.4","17800","35300","157"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2004","year","Yorkshire and The Humber","54","%","18.1","9300","17100","73"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2004","year","All","49","%","1.6","549400","1133500","9398"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2004","year","East Midlands","48","%","5.8","38300","79200","708"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2004","year","East of England","53","%","5.6","49700","93600","774"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2004","year","London","42","%","6.4","63000","150500","566"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2004","year","North East","46","%","5.4","30700","66200","822"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2004","year","North West","46","%","4.6","62600","136500","1133"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2004","year","Scotland","44","%","4.3","57900","132200","1260"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2004","year","South East","55","%","4.6","76600","139700","1118"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2004","year","South West","53","%","5.5","43400","81700","780"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2004","year","Wales","52","%","5.2","32100","61600","895"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2004","year","West Midlands","48","%","5.7","47100","98400","730"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2004","year","Yorkshire and The Humber","51","%","6.3","48100","94000","612"
"0-3 months","Length of time spent in unemployment","All","All","2005","year","All","47","%","1","672300","1442700","10459"
"0-3 months","Length of time spent in unemployment","All","All","2005","year","East Midlands","45","%","3.4","46000","102700","816"
"0-3 months","Length of time spent in unemployment","All","All","2005","year","East of England","52","%","3.3","59200","113700","906"
"0-3 months","Length of time spent in unemployment","All","All","2005","year","London","41","%","3.1","111800","276300","956"
"0-3 months","Length of time spent in unemployment","All","All","2005","year","North East","42","%","3.5","28900","68100","768"
"0-3 months","Length of time spent in unemployment","All","All","2005","year","North West","46","%","2.7","79300","173300","1325"
"0-3 months","Length of time spent in unemployment","All","All","2005","year","Scotland","45","%","2.7","62100","137500","1272"
"0-3 months","Length of time spent in unemployment","All","All","2005","year","South East","55","%","2.7","87700","160000","1268"
"0-3 months","Length of time spent in unemployment","All","All","2005","year","South West","53","%","3.6","46300","87200","732"
"0-3 months","Length of time spent in unemployment","All","All","2005","year","Wales","44","%","3.2","31800","71600","936"
"0-3 months","Length of time spent in unemployment","All","All","2005","year","West Midlands","46","%","3.4","61500","132900","836"
"0-3 months","Length of time spent in unemployment","All","All","2005","year","Yorkshire and The Humber","48","%","3.9","57700","119600","644"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2005","year","All","43","%","4.4","110400","258600","1210"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2005","year","East Midlands","50","%","16.1","7300","14500","92"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2005","year","East of England","58","%","15.9","6800","11800","93"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2005","year","London","39","%","7.2","52200","134300","445"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2005","year","North East","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2005","year","North West","39","%","13.8","7100","18100","120"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2005","year","Scotland","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2005","year","South East","53","%","13.1","9100","17200","139"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2005","year","South West","?","%","?","?","?","?"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2005","year","Wales","36","%","22.1","1800","5100","45"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2005","year","West Midlands","41","%","12.6","14100","34300","145"
"0-3 months","Length of time spent in unemployment","Other than White","White and other","2005","year","Yorkshire and The Humber","46","%","21","6300","13600","54"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2005","year","All","48","%","1.6","561100","1182500","9237"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2005","year","East Midlands","44","%","5.7","38700","88200","724"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2005","year","East of England","51","%","5.4","52300","101800","812"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2005","year","London","42","%","6.8","59600","141700","510"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2005","year","North East","42","%","5.6","27400","65100","739"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2005","year","North West","46","%","4.5","71800","154800","1203"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2005","year","Scotland","45","%","4.4","59800","133600","1244"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2005","year","South East","55","%","4.6","78400","142400","1125"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2005","year","South West","53","%","5.8","44300","84300","710"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2005","year","Wales","45","%","5.2","30000","66600","891"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2005","year","West Midlands","48","%","5.9","47300","98300","689"
"0-3 months","Length of time spent in unemployment","White","ONS 2011 5+1","2005","year","Yorkshire and The Humber","49","%","6.4","51500","105900","590"
"0-3 months","Length of time spent in unemployment","All","All","2006","year","All","43","%","1","685800","1598500","8725"
"0-3 months","Length of time spent in unemployment","All","All","2006","year","East Midlands","43","%","4.4","49700","116400","484"
"0-3 months","Length of time spent in unemployment","All","All","2006","year","East of England","49","%","4.2","64000","131100","539"
"0-3 months","Length of time spent in unemployment","All","All","2006","year","London","36","%","2.9","107600","299000","1041"
"0-3 months","Length of time spent in unemployment","All","All","2006","year","North East","38","%","3.6","32000","84200","695"
"0-3 months","Length of time spent in unemployment","All","All","2006","year","North West","41","%","3","73600","178400","1053"
"0-3 months","Length of time spent in unemployment","All","All","2006","year","Scotland","45","%","2.8","61000","136600","1242"
"0-3 months","Length of time spent in unemployment","All","All","2006","year","South East","48","%","3.2","93800","195400","926"
"0-3 months","Length of time spent in unemployment","All","All","2006","year","South West","53","%","4.5","51200","96500","464"
"0-3 months","Length of time spent in unemployment","All","All","2006","year","Wales","45","%","3.2","33100","73100","912"
