"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Gender_type","Destination","Value","Value_type","Denominator","Numerator"
"Pupil destination after key stage 4 study (Percentage %)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","89","% of cohort","568410","506630"
"Pupil destination after key stage 4 study (Percentage %)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Education","82","% of cohort","568410","468320"
"Pupil destination after key stage 4 study (Percentage %)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","4","% of cohort","568410","23425"
"Pupil destination after key stage 4 study (Percentage %)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Employment","3","% of cohort","568410","14885"
"Pupil destination after key stage 4 study (Percentage %)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","568410","49935"
"Pupil destination after key stage 4 study (Percentage %)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","568410","11845"
"Pupil destination after key stage 4 study (Percentage %)","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","67","% of cohort","390","265"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","90","% of cohort","11600","10455"
"Pupil destination after key stage 4 study (Percentage %)","Pakistani","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","90","% of cohort","14760","13320"
"Pupil destination after key stage 4 study (Percentage %)","Indian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","95","% of cohort","11965","11415"
"Pupil destination after key stage 4 study (Percentage %)","White and Black African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","87","% of cohort","1485","1300"
"Pupil destination after key stage 4 study (Percentage %)","Chinese","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","97","% of cohort","1700","1640"
"Pupil destination after key stage 4 study (Percentage %)","Unclassified","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","86","% of cohort","32365","27965"
"Pupil destination after key stage 4 study (Percentage %)","White - British","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","89","% of cohort","442055","393190"
"Pupil destination after key stage 4 study (Percentage %)","White and Asian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","91","% of cohort","3290","2980"
"Pupil destination after key stage 4 study (Percentage %)","Any other mixed background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","89","% of cohort","5725","5105"
"Pupil destination after key stage 4 study (Percentage %)","Any other Asian background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","94","% of cohort","4245","3990"
"Pupil destination after key stage 4 study (Percentage %)","White - Irish","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","89","% of cohort","1885","1685"
"Pupil destination after key stage 4 study (Percentage %)","Any other Black background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","89","% of cohort","2330","2085"
"Pupil destination after key stage 4 study (Percentage %)","Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","89","% of cohort","7525","6715"
"Pupil destination after key stage 4 study (Percentage %)","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","86","% of cohort","6190","5340"
"Pupil destination after key stage 4 study (Percentage %)","Other","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","91","% of cohort","4665","4250"
"Pupil destination after key stage 4 study (Percentage %)","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","60","% of cohort","115","70"
"Pupil destination after key stage 4 study (Percentage %)","Bangladeshi","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","92","% of cohort","5975","5490"
"Pupil destination after key stage 4 study (Percentage %)","Black - African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","93","% of cohort","10135","9380"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","86","% of cohort","11600","9985"
"Pupil destination after key stage 4 study (Percentage %)","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","56","% of cohort","390","220"
"Pupil destination after key stage 4 study (Percentage %)","Pakistani","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","88","% of cohort","14760","12925"
"Pupil destination after key stage 4 study (Percentage %)","Indian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","94","% of cohort","11965","11220"
"Pupil destination after key stage 4 study (Percentage %)","White and Black African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","83","% of cohort","1485","1235"
"Pupil destination after key stage 4 study (Percentage %)","Chinese","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","95","% of cohort","1700","1620"
"Pupil destination after key stage 4 study (Percentage %)","White - British","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","81","% of cohort","442055","358760"
"Pupil destination after key stage 4 study (Percentage %)","Unclassified","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","83","% of cohort","32365","26770"
"Pupil destination after key stage 4 study (Percentage %)","White and Asian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","87","% of cohort","3290","2860"
"Pupil destination after key stage 4 study (Percentage %)","Any other mixed background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","86","% of cohort","5725","4895"
"Pupil destination after key stage 4 study (Percentage %)","Any other Asian background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","93","% of cohort","4245","3930"
"Pupil destination after key stage 4 study (Percentage %)","White - Irish","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","85","% of cohort","1885","1600"
"Pupil destination after key stage 4 study (Percentage %)","Any other Black background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","87","% of cohort","2330","2025"
"Pupil destination after key stage 4 study (Percentage %)","Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","86","% of cohort","7525","6480"
"Pupil destination after key stage 4 study (Percentage %)","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","80","% of cohort","6190","4945"
"Pupil destination after key stage 4 study (Percentage %)","Other","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","90","% of cohort","4665","4190"
"Pupil destination after key stage 4 study (Percentage %)","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","50","% of cohort","115","55"
"Pupil destination after key stage 4 study (Percentage %)","Bangladeshi","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","90","% of cohort","5975","5370"
"Pupil destination after key stage 4 study (Percentage %)","Black - African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","91","% of cohort","10135","9230"
"Pupil destination after key stage 4 study (Percentage %)","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","4","% of cohort","390","15"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","2","% of cohort","11600","265"
"Pupil destination after key stage 4 study (Percentage %)","Pakistani","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","2","% of cohort","14760","220"
"Pupil destination after key stage 4 study (Percentage %)","Indian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","1","% of cohort","11965","135"
"Pupil destination after key stage 4 study (Percentage %)","White and Black African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","3","% of cohort","1485","40"
"Pupil destination after key stage 4 study (Percentage %)","Chinese","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","1","% of cohort","1700","15"
"Pupil destination after key stage 4 study (Percentage %)","Unclassified","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","2","% of cohort","32365","610"
"Pupil destination after key stage 4 study (Percentage %)","White - British","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","5","% of cohort","442055","21155"
"Pupil destination after key stage 4 study (Percentage %)","White and Asian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","2","% of cohort","3290","75"
"Pupil destination after key stage 4 study (Percentage %)","Any other mixed background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","2","% of cohort","5725","130"
"Pupil destination after key stage 4 study (Percentage %)","Any other Asian background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","1","% of cohort","4245","40"
"Pupil destination after key stage 4 study (Percentage %)","White - Irish","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","3","% of cohort","1885","50"
"Pupil destination after key stage 4 study (Percentage %)","Any other Black background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","2","% of cohort","2330","35"
"Pupil destination after key stage 4 study (Percentage %)","Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","2","% of cohort","7525","165"
"Pupil destination after key stage 4 study (Percentage %)","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","4","% of cohort","6190","255"
"Pupil destination after key stage 4 study (Percentage %)","Other","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","1","% of cohort","4665","30"
"Pupil destination after key stage 4 study (Percentage %)","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","3","% of cohort","115","5"
"Pupil destination after key stage 4 study (Percentage %)","Bangladeshi","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","1","% of cohort","5975","65"
"Pupil destination after key stage 4 study (Percentage %)","Black - African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","1","% of cohort","10135","120"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","2","% of cohort","11600","205"
"Pupil destination after key stage 4 study (Percentage %)","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","7","% of cohort","390","30"
"Pupil destination after key stage 4 study (Percentage %)","Pakistani","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","1","% of cohort","14760","170"
"Pupil destination after key stage 4 study (Percentage %)","Indian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Employment","0","% of cohort","11965","55"
