"Ethnicity","Religious character","All","Boys","Girls"
"All","All state-funded mainstream schools","0.01","-0.21","0.23"
"All","Church of England schools","0.08","-0.14","0.30"
"All","Hindu schools","0.75","0.79","0.70"
"All","Jewish schools","0.82","0.54","1.05"
"All","Muslim schools","1.20","0.94","1.30"
"All","No religious character","-0.01","-0.23","0.21"
"All","Other Christian faith schools","0.09","-0.10","0.31"
"All","Roman Catholic schools","0.12","-0.10","0.34"
"All","Sikh schools","0.62","0.40","0.84"
"Asian","All state-funded mainstream schools","0.48","0.26","0.70"
"Asian","Church of England schools","0.51","0.32","0.72"
"Asian","Hindu schools","0.78","0.81","0.75"
"Asian","Jewish schools","0.75","0.59","0.87"
"Asian","Muslim schools","1.20","0.97","1.29"
"Asian","No religious character","0.45","0.23","0.67"
"Asian","Other Christian faith schools","0.64","0.50","0.82"
"Asian","Roman Catholic schools","0.61","0.38","0.86"
"Asian","Sikh schools","0.67","0.52","0.82"
"Black","All state-funded mainstream schools","0.16","-0.10","0.41"
"Black","Church of England schools","0.11","-0.16","0.33"
"Black","Hindu schools","-1.15","N/A","-1.15"
"Black","Jewish schools","0.13","-0.32","0.62"
"Black","Muslim schools","1.13","0.74","1.25"
"Black","No religious character","0.12","-0.14","0.38"
"Black","Other Christian faith schools","0.26","0.04","0.58"
"Black","Roman Catholic schools","0.30","0.05","0.51"
"Black","Sikh schools","0.15","N/A","0.15"
"Chinese","All state-funded mainstream schools","1.06","0.91","1.20"
"Chinese","Church of England schools","1.18","1.11","1.24"
"Chinese","Hindu schools","N/A","N/A","N/A"
"Chinese","Jewish schools","1.47","1.47","N/A"
"Chinese","Muslim schools","N/A","N/A","N/A"
"Chinese","No religious character","1.05","0.89","1.19"
"Chinese","Other Christian faith schools","1.37","1.23","1.65"
"Chinese","Roman Catholic schools","0.91","0.72","1.11"
"Chinese","Sikh schools","-0.37","-0.37","N/A"
"Mixed","All state-funded mainstream schools","0.02","-0.20","0.23"
"Mixed","Church of England schools","0.07","-0.05","0.18"
"Mixed","Hindu schools","0.76","0.35","1.16"
"Mixed","Jewish schools","-0.12","-0.61","0.33"
"Mixed","Muslim schools","1.10","0.62","1.39"
"Mixed","No religious character","-0.01","-0.23","0.21"
"Mixed","Other Christian faith schools","0.20","0.00","0.47"
"Mixed","Roman Catholic schools","0.14","-0.11","0.36"
"Mixed","Sikh schools","0.52","-0.03","0.87"
"White","All state-funded mainstream schools","-0.07","-0.29","0.15"
"White","Church of England schools","0.02","-0.20","0.25"
"White","Hindu schools","N/A","N/A","N/A"
"White","Jewish schools","0.82","0.50","1.04"
"White","Muslim schools","2.40","N/A","2.40"
"White","No religious character","-0.09","-0.31","0.13"
"White","Other Christian faith schools","-0.01","-0.22","0.21"
"White","Roman Catholic schools","0.03","-0.19","0.24"
"White","Sikh schools","0.38","0.38","N/A"
