"","Boys","","Girls",""
"Ethnicity","Score","Pupils","Score","Pupils"
"All","-0.25","251,693","0.22","243,142"
"Asian","0.23","25,690","0.68","24,770"
"Bangladeshi","0.20","4,302","0.67","4,457"
"Indian","0.52","6,541","0.93","6,276"
"Pakistani","-0.02","10,860","0.49","10,502"
"Asian other","0.47","3,987","0.85","3,535"
"Black","-0.15","12,399","0.39","12,784"
"Black African","0.04","7,676","0.58","7,838"
"Black Caribbean","-0.59","3,206","-0.03","3,433"
"Black other","-0.19","1,517","0.35","1,513"
"Chinese","0.86","732","1.18","804"
"Mixed","-0.25","11,535","0.21","11,381"
"Mixed White/Asian","0.06","2,584","0.38","2,565"
"Mixed White/Black African","-0.27","1,342","0.30","1,327"
"Mixed White/Black Caribbean","-0.62","3,466","-0.12","3,469"
"Mixed other","-0.12","4,143","0.37","4,020"
"White","-0.33","194,807","0.13","187,127"
"White British","-0.36","184,192","0.10","176,659"
"White Irish","-0.07","751","0.29","747"
"Gypsy/Roma","-1.07","334","-0.54","403"
"Irish Traveller","-1.45","49","-0.89","51"
"White other","0.26","9,481","0.76","9,267"
"Other","0.31","3,310","0.80","3,279"
"Unknown","-0.60","3,220","-0.19","2,997"
