"Ethnicity","Admission Basis","All","Boys","Girls"
"All","All state-funded mainstream schools","0.01","-0.21","0.23"
"All","Non-selective schools in highly selective areas","-0.13","-0.34","0.08"
"All","Non-selective schools in other areas","0.00","-0.23","0.23"
"All","Selective schools","0.56","0.42","0.71"
"Asian","All state-funded mainstream schools","0.48","0.26","0.70"
"Asian","Non-selective schools in highly selective areas","0.42","0.19","0.66"
"Asian","Non-selective schools in other areas","0.44","0.21","0.68"
"Asian","Selective schools","0.90","0.83","0.99"
"Black","All state-funded mainstream schools","0.16","-0.10","0.41"
"Black","Non-selective schools in highly selective areas","0.19","-0.11","0.48"
"Black","Non-selective schools in other areas","0.14","-0.12","0.39"
"Black","Selective schools","0.69","0.49","0.84"
"Chinese","All state-funded mainstream schools","1.06","0.91","1.20"
"Chinese","Non-selective schools in highly selective areas","1.01","0.74","1.26"
"Chinese","Non-selective schools in other areas","1.06","0.89","1.19"
"Chinese","Selective schools","1.09","0.98","1.19"
"Mixed","All state-funded mainstream schools","0.02","-0.20","0.23"
"Mixed","Non-selective schools in highly selective areas","-0.03","-0.13","0.06"
"Mixed","Non-selective schools in other areas","-0.01","-0.24","0.22"
"Mixed","Selective schools","0.59","0.46","0.71"
"White","All state-funded mainstream schools","-0.07","-0.29","0.15"
"White","Non-selective schools in highly selective areas","-0.19","-0.40","0.02"
"White","Non-selective schools in other areas","-0.08","-0.30","0.14"
"White","Selective schools","0.45","0.27","0.62"
