"","Child Benefit","State Pension","Disability Living Allowance (care component)","Disability Living Allowance (mobility component)"
"Ethnicity","%","%","%","%"
"All","18","24","8","6"
"Asian","24","10","5","4"
"Bangladeshi","34","7","10","8"
"Chinese","12","8","1","~0"
"Indian","19","14","4","2"
"Pakistani","30","7","6","6"
"Asian other","23","6","3","2"
"Black","28","9","6","4"
"Mixed","20","7","5","4"
"White","17","26","8","6"
"White British","17","27","8","7"
"White other","23","8","3","2"
"Other","21","8","5","3"
