"Benefit","Ethnicity","%"
"Any state support","All","51"
"Any state support","Asian","42"
"Any state support","Bangladeshi","52"
"Any state support","Chinese","25"
"Any state support","Indian","39"
"Any state support","Pakistani","48"
"Any state support","Asian other","39"
"Any state support","Black","51"
"Any state support","Mixed","37"
"Any state support","White","53"
"Any state support","White British","54"
"Any state support","White other","37"
"Any state support","Other","38"
"Any tax credits","All","6"
"Any tax credits","Asian","11"
"Any tax credits","Bangladeshi","18"
"Any tax credits","Chinese","4"
"Any tax credits","Indian","6"
"Any tax credits","Pakistani","17"
"Any tax credits","Asian other","9"
"Any tax credits","Black","11"
"Any tax credits","Mixed","11"
"Any tax credits","White","5"
"Any tax credits","White British","5"
"Any tax credits","White other","6"
"Any tax credits","Other","8"
"Any income-related benefit","All","16"
"Any income-related benefit","Asian","14"
"Any income-related benefit","Bangladeshi","24"
"Any income-related benefit","Chinese","8"
"Any income-related benefit","Indian","8"
"Any income-related benefit","Pakistani","18"
"Any income-related benefit","Asian other","15"
"Any income-related benefit","Black","24"
"Any income-related benefit","Mixed","17"
"Any income-related benefit","White","15"
"Any income-related benefit","White British","16"
"Any income-related benefit","White other","11"
"Any income-related benefit","Other","18"
"Any non-income-related benefit","All","48"
"Any non-income-related benefit","Asian","39"
"Any non-income-related benefit","Bangladeshi","48"
"Any non-income-related benefit","Chinese","23"
"Any non-income-related benefit","Indian","37"
"Any non-income-related benefit","Pakistani","44"
"Any non-income-related benefit","Asian other","34"
"Any non-income-related benefit","Black","44"
"Any non-income-related benefit","Mixed","33"
"Any non-income-related benefit","White","50"
"Any non-income-related benefit","White British","51"
"Any non-income-related benefit","White other","35"
"Any non-income-related benefit","Other","35"
