"Benefit","Ethnicity","%"
"Child Benefit","All","18"
"Child Benefit","Asian","24"
"Child Benefit","Bangladeshi","34"
"Child Benefit","Chinese","12"
"Child Benefit","Indian","19"
"Child Benefit","Pakistani","30"
"Child Benefit","Asian other","23"
"Child Benefit","Black","28"
"Child Benefit","Mixed","20"
"Child Benefit","White","17"
"Child Benefit","White British","17"
"Child Benefit","White other","23"
"Child Benefit","Other","21"
"State Pension","All","24"
"State Pension","Asian","10"
"State Pension","Bangladeshi","7"
"State Pension","Chinese","8"
"State Pension","Indian","14"
"State Pension","Pakistani","7"
"State Pension","Asian other","6"
"State Pension","Black","9"
"State Pension","Mixed","7"
"State Pension","White","26"
"State Pension","White British","27"
"State Pension","White other","8"
"State Pension","Other","8"
"Disability Living Allowance (care component)","All","8"
"Disability Living Allowance (care component)","Asian","5"
"Disability Living Allowance (care component)","Bangladeshi","10"
"Disability Living Allowance (care component)","Chinese","1"
"Disability Living Allowance (care component)","Indian","4"
"Disability Living Allowance (care component)","Pakistani","6"
"Disability Living Allowance (care component)","Asian other","3"
"Disability Living Allowance (care component)","Black","6"
"Disability Living Allowance (care component)","Mixed","5"
"Disability Living Allowance (care component)","White","8"
"Disability Living Allowance (care component)","White British","8"
"Disability Living Allowance (care component)","White other","3"
"Disability Living Allowance (care component)","Other","5"
"Disability Living Allowance (mobility component)","All","6"
"Disability Living Allowance (mobility component)","Asian","4"
"Disability Living Allowance (mobility component)","Bangladeshi","8"
"Disability Living Allowance (mobility component)","Chinese","~0"
"Disability Living Allowance (mobility component)","Indian","2"
"Disability Living Allowance (mobility component)","Pakistani","6"
"Disability Living Allowance (mobility component)","Asian other","2"
"Disability Living Allowance (mobility component)","Black","4"
"Disability Living Allowance (mobility component)","Mixed","4"
"Disability Living Allowance (mobility component)","White","6"
"Disability Living Allowance (mobility component)","White British","7"
"Disability Living Allowance (mobility component)","White other","2"
"Disability Living Allowance (mobility component)","Other","3"
