"","Any state support","Any tax credits","Any income-related benefit","Any non-income-related benefit"
"Ethnicity","%","%","%","%"
"All","51","6","16","48"
"Asian","42","11","14","39"
"Bangladeshi","52","18","24","48"
"Chinese","25","4","8","23"
"Indian","39","6","8","37"
"Pakistani","48","17","18","44"
"Asian other","39","9","15","34"
"Black","51","11","24","44"
"Mixed","37","11","17","33"
"White","53","5","15","50"
"White British","54","5","16","51"
"White other","37","6","11","35"
"Other","38","8","18","35"
