"Benefit","Ethnicity","%"
"Council Tax Reduction","All","11"
"Council Tax Reduction","Asian","9"
"Council Tax Reduction","Bangladeshi","15"
"Council Tax Reduction","Chinese","6"
"Council Tax Reduction","Indian","6"
"Council Tax Reduction","Pakistani","12"
"Council Tax Reduction","Asian other","11"
"Council Tax Reduction","Black","18"
"Council Tax Reduction","Mixed","13"
"Council Tax Reduction","White","11"
"Council Tax Reduction","White British","12"
"Council Tax Reduction","White other","7"
"Council Tax Reduction","Other","14"
"Housing Benefit","All","9"
"Housing Benefit","Asian","7"
"Housing Benefit","Bangladeshi","14"
"Housing Benefit","Chinese","5"
"Housing Benefit","Indian","4"
"Housing Benefit","Pakistani","9"
"Housing Benefit","Asian other","10"
"Housing Benefit","Black","14"
"Housing Benefit","Mixed","11"
"Housing Benefit","White","8"
"Housing Benefit","White British","9"
"Housing Benefit","White other","6"
"Housing Benefit","Other","11"
"Income Support","All","1"
"Income Support","Asian","1"
"Income Support","Bangladeshi","1"
"Income Support","Chinese","~0"
"Income Support","Indian","~0"
"Income Support","Pakistani","2"
"Income Support","Asian other","1"
"Income Support","Black","2"
"Income Support","Mixed","2"
"Income Support","White","1"
"Income Support","White British","1"
"Income Support","White other","~0"
"Income Support","Other","1"
"Pension Credit","All","3"
"Pension Credit","Asian","3"
"Pension Credit","Bangladeshi","5"
"Pension Credit","Chinese","2"
"Pension Credit","Indian","2"
"Pension Credit","Pakistani","3"
"Pension Credit","Asian other","1"
"Pension Credit","Black","2"
"Pension Credit","Mixed","2"
"Pension Credit","White","3"
"Pension Credit","White British","3"
"Pension Credit","White other","2"
"Pension Credit","Other","2"
