"Ethnicity","Geography","%","Number of Respondents "
"All","East","60.2","22,502"
"All","East Midlands","59.3","21,550"
"All","London","62.4","16,340"
"All","North East","58.7","7,595"
"All","North West","60.1","26,991"
"All","South East","64.4","32,024"
"All","South West","65.3","16,204"
"All","West Midlands","57.8","17,022"
"All","Yorkshire And The Humber","60.3","17,045"
"Asian","East","50.9","829"
"Asian","East Midlands","50.1","790"
"Asian","London","53.2","2,283"
"Asian","North East","48.9","218"
"Asian","North West","47.4","1,230"
"Asian","South East","54.0","1,152"
"Asian","South West","49.3","243"
"Asian","West Midlands","46.9","1,013"
"Asian","Yorkshire And The Humber","42.6","443"
"Black","East","54.7","287"
"Black","East Midlands","56.3","238"
"Black","London","52.9","1,009"
"Black","North East","?","?"
"Black","North West","55.9","334"
"Black","South East","61.6","335"
"Black","South West","64.2","97"
"Black","West Midlands","55.7","288"
"Black","Yorkshire And The Humber","58.3","145"
"Chinese","East","61.2","159"
"Chinese","East Midlands","42.8","117"
"Chinese","London","60.0","336"
"Chinese","North East","?","?"
"Chinese","North West","43.0","169"
"Chinese","South East","63.3","170"
"Chinese","South West","73.5","79"
"Chinese","West Midlands","50.9","86"
"Chinese","Yorkshire And The Humber","59.2","66"
"Mixed","East","67.1","290"
"Mixed","East Midlands","55.8","263"
"Mixed","London","70.2","530"
"Mixed","North East","67.2","57"
"Mixed","North West","69.1","322"
"Mixed","South East","74.2","397"
"Mixed","South West","70.8","157"
"Mixed","West Midlands","61.1","189"
"Mixed","Yorkshire And The Humber","65.0","154"
"White British","East","61.2","18,858"
"White British","East Midlands","60.5","18,635"
"White British","London","67.5","8,104"
"White British","North East","59.5","6,815"
"White British","North West","61.4","23,014"
"White British","South East","65.1","26,930"
"White British","South West","65.7","14,521"
"White British","West Midlands","59.8","14,179"
"White British","Yorkshire And The Humber","61.5","15,228"
"White other","East","59.9","1,367"
"White other","East Midlands","63.5","946"
"White other","London","68.6","2,572"
"White other","North East","55.2","211"
"White other","North West","61.5","1,011"
"White other","South East","65.6","2,010"
"White other","South West","66.1","702"
"White other","West Midlands","61.2","707"
"White other","Yorkshire And The Humber","62.9","528"
"Other","East","37.2","128"
"Other","East Midlands","43.2","108"
"Other","London","54.4","475"
"Other","North East","?","?"
"Other","North West","55.9","198"
"Other","South East","58.3","229"
"Other","South West","70.6","60"
"Other","West Midlands","54.9","113"
"Other","Yorkshire And The Humber","50.2","107"
