"Age Bracket","Ethnicity","%","Number of Respondents "
"16-24","All","68.6","11,143"
"16-24","Asian","56.1","1,085"
"16-24","Black","63.6","387"
"16-24","Chinese","66.7","180"
"16-24","Mixed","66.4","458"
"16-24","White British","72.4","7,666"
"16-24","White other","69.3","736"
"16-24","Other","62.7","168"
"25-34","All","64.9","22,800"
"25-34","Asian","50.3","1,737"
"25-34","Black","58.1","463"
"25-34","Chinese","54.0","304"
"25-34","Mixed","74.2","581"
"25-34","White British","67.7","16,487"
"25-34","White other","66.8","2,250"
"25-34","Other","54.9","251"
"35-44","All","64.1","26,861"
"35-44","Asian","49.9","2,378"
"35-44","Black","52.6","640"
"35-44","Chinese","52.5","269"
"35-44","Mixed","70.2","528"
"35-44","White British","68.5","18,980"
"35-44","White other","62.9","2,713"
"35-44","Other","53.5","350"
"45-54","All","65.2","29,145"
"45-54","Asian","49.9","1,531"
"45-54","Black","50.7","561"
"45-54","Chinese","55.3","205"
"45-54","Mixed","68.2","341"
"45-54","White British","67.5","23,720"
"45-54","White other","66.5","1,752"
"45-54","Other","48.2","293"
"55-64","All","61.5","33,895"
"55-64","Asian","47.4","736"
"55-64","Black","54.1","470"
"55-64","Chinese","59.3","148"
"55-64","Mixed","58.7","297"
"55-64","White British","62.6","30,153"
"55-64","White other","67.4","1,175"
"55-64","Other","45.8","198"
"65-74","All","60.1","32,985"
"65-74","Asian","43.8","476"
"65-74","Black","56.1","167"
"65-74","Chinese","58.1","77"
"65-74","Mixed","66.0","103"
"65-74","White British","60.5","30,526"
"65-74","White other","65.1","930"
"65-74","Other","58.6","129"
"75+","All","39.3","19,504"
"75+","Asian","31.7","229"
"75+","Black","?","?"
"75+","Chinese","?","?"
"75+","Mixed","?","?"
"75+","White British","39.6","18,200"
"75+","White other","45.6","462"
"75+","Other","?","?"
