"Gender","Ethnicity","%","Number of Respondents "
"Female","All","59.8","97,882"
"Female","Asian","46.6","4,247"
"Female","Black","52.1","1,673"
"Female","Chinese","55.9","734"
"Female","Mixed","66.4","1,418"
"Female","White British","61.0","80,604"
"Female","White other","65.6","6,001"
"Female","Other","54.1","813"
"Male","All","63.1","78,484"
"Male","Asian","53.6","3,922"
"Male","Black","58.8","1,096"
"Male","Chinese","60.3","482"
"Male","Mixed","70.2","916"
"Male","White British","64.7","65,193"
"Male","White other","64.4","4,004"
"Male","Other","52.0","633"
"Other Gender","All","58.7","594"
"Other Gender","Asian","?","?"
"Other Gender","Black","?","?"
"Other Gender","Chinese","?","?"
"Other Gender","Mixed","?","?"
"Other Gender","White British","65.7","293"
"Other Gender","White other","?","?"
"Other Gender","Other","?","?"
