"Ethnicity","Age Group","%","Sample size"
"Asian","16-24","15","603"
"Asian","25-34","16","1,386"
"Asian","35-44","17","1,867"
"Asian","45-54","17","1,026"
"Asian","55-64","13","615"
"Asian","65-74","9","408"
"Asian","75+","11","251"
"Black","16-24","15","280"
"Black","25-34","20","492"
"Black","35-44","16","699"
"Black","45-54","15","654"
"Black","55-64","14","386"
"Black","65-74","11","179"
"Black","75+","6","165"
"Mixed","16-24","21","213"
"Mixed","25-34","20","306"
"Mixed","35-44","22","256"
"Mixed","45-54","20","187"
"Mixed","55-64","15","125"
"Mixed","65-74","12","52"
"Mixed","75+","?","24"
"White","16-24","20","5,393"
"White","25-34","17","12,588"
"White","35-44","16","13,469"
"White","45-54","15","15,193"
"White","55-64","13","15,577"
"White","65-74","9","15,720"
"White","75+","6","13,405"
"Other","16-24","16","94"
"Other","25-34","15","206"
"Other","35-44","17","254"
"Other","45-54","17","148"
"Other","55-64","15","86"
"Other","65-74","?","48"
"Other","75+","?","26"
