"Ethnicity","Socio-economic classification","%","Sample size"
"Asian","Managerial and professional occupations","18","2,187"
"Asian","Intermediate occupations","17","1,225"
"Asian","Routine and manual occupations","13","1,544"
"Asian","Never worked and long-term unemployed","13","652"
"Asian","Full time students","14","453"
"Asian","Not classified","8","95"
"Black","Managerial and professional occupations","17","884"
"Black","Intermediate occupations","17","447"
"Black","Routine and manual occupations","15","1,053"
"Black","Never worked and long-term unemployed","6","198"
"Black","Full time students","15","219"
"Black","Not classified","7","54"
"Mixed","Managerial and professional occupations","23","421"
"Mixed","Intermediate occupations","16","195"
"Mixed","Routine and manual occupations","21","360"
"Mixed","Never worked and long-term unemployed","25","52"
"Mixed","Full time students","15","124"
"Mixed","Not classified","?","11"
"White","Managerial and professional occupations","14","33,511"
"White","Intermediate occupations","13","21,464"
"White","Routine and manual occupations","13","31,159"
"White","Never worked and long-term unemployed","14","2,335"
"White","Full time students","20","2,077"
"White","Not classified","9","799"
"Other","Managerial and professional occupations","17","267"
"Other","Intermediate occupations","16","141"
"Other","Routine and manual occupations","14","238"
"Other","Never worked and long-term unemployed","12","103"
"Other","Full time students","18","104"
"Other","Not classified","?","9"
