"Ethnicity","Highest qualification held",""
"All","All","83%"
"All","Level 4 and above","90%"
"All","Level 3","87%"
"All","Level 2","80%"
"All","Below Level 2","78%"
"All","Other qualifications","84%"
"All","No qualifications","57%"
"Asian","All","84%"
"Asian","Level 4 and above","92%"
"Asian","Level 3","87%"
"Asian","Level 2","72%"
"Asian","Below Level 2","76%"
"Asian","Other qualifications","85%"
"Asian","No qualifications","65%"
"Black","All","79%"
"Black","Level 4 and above","87%"
"Black","Level 3","77%"
"Black","Level 2","69%"
"Black","Below Level 2","71%"
"Black","Other qualifications","81%"
"Black","No qualifications","64%"
"Mixed","All","77%"
"Mixed","Level 4 and above","88%"
"Mixed","Level 3","75%"
"Mixed","Level 2","70%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","83%"
"White","Level 4 and above","90%"
"White","Level 3","87%"
"White","Level 2","81%"
"White","Below Level 2","78%"
"White","Other qualifications","84%"
"White","No qualifications","56%"
"Other","All","79%"
"Other","Level 4 and above","86%"
"Other","Level 3","?"
"Other","Level 2","?"
"Other","Below Level 2","?"
"Other","Other qualifications","82%"
"Other","No qualifications","58%"
