"Ethnicity","Household type","%"
"Asian","Single pensioner","1.2"
"Asian","Single non-pensioner","4.2"
"Asian","Pensioner couple","1.3"
"Asian","Married, no children","3.8"
"Asian","Married, Dependent children","10.8"
"Asian","Married, non-dependent children","6.4"
"Asian","Cohab, no children","1.8"
"Asian","Cohab, Dependent children","1.9"
"Asian","Cohab, non-dependent children","1.7"
"Asian","Lone parent, Dependent children","4.2"
"Asian","Lone parent, non-dependent children","4.7"
"Asian","Other, with dependent children","21.2"
"Asian","All full-time students","20.6"
"Asian","Other, All pensioners","1.7"
"Asian","Any other household type","10.4"
"Black","Single pensioner","1.4"
"Black","Single non-pensioner","4.6"
"Black","Pensioner couple","0.6"
"Black","Married, no children","1.0"
"Black","Married, Dependent children","3.1"
"Black","Married, non-dependent children","1.4"
"Black","Cohab, no children","1.4"
"Black","Cohab, Dependent children","3.1"
"Black","Cohab, non-dependent children","2.3"
"Black","Lone parent, Dependent children","8.3"
"Black","Lone parent, non-dependent children","4.9"
"Black","Other, with dependent children","8.1"
"Black","All full-time students","5.5"
"Black","Other, All pensioners","1.5"
"Black","Any other household type","4.4"
"Mixed","Single pensioner","0.4"
"Mixed","Single non-pensioner","2.2"
"Mixed","Pensioner couple","0.3"
"Mixed","Married, no children","0.6"
"Mixed","Married, Dependent children","1.0"
"Mixed","Married, non-dependent children","0.5"
"Mixed","Cohab, no children","1.4"
"Mixed","Cohab, Dependent children","1.6"
"Mixed","Cohab, non-dependent children","1.0"
"Mixed","Lone parent, Dependent children","2.9"
"Mixed","Lone parent, non-dependent children","1.1"
"Mixed","Other, with dependent children","1.9"
"Mixed","All full-time students","3.3"
"Mixed","Other, All pensioners","0.7"
"Mixed","Any other household type","2.1"
"White","Single pensioner","96.7"
"White","Single non-pensioner","87.6"
"White","Pensioner couple","97.7"
"White","Married, no children","94.1"
"White","Married, Dependent children","83.6"
"White","Married, non-dependent children","91.0"
"White","Cohab, no children","94.9"
"White","Cohab, Dependent children","92.9"
"White","Cohab, non-dependent children","94.6"
"White","Lone parent, Dependent children","83.7"
"White","Lone parent, non-dependent children","88.7"
"White","Other, with dependent children","67.0"
"White","All full-time students","67.2"
"White","Other, All pensioners","95.8"
"White","Any other household type","81.7"
"Other","Single pensioner","0.2"
"Other","Single non-pensioner","1.4"
"Other","Pensioner couple","0.2"
"Other","Married, no children","0.5"
"Other","Married, Dependent children","1.5"
"Other","Married, non-dependent children","0.6"
"Other","Cohab, no children","0.4"
"Other","Cohab, Dependent children","0.5"
"Other","Cohab, non-dependent children","0.3"
"Other","Lone parent, Dependent children","0.9"
"Other","Lone parent, non-dependent children","0.7"
"Other","Other, with dependent children","1.8"
"Other","All full-time students","3.5"
"Other","Other, All pensioners","0.3"
"Other","Any other household type","1.4"
