"","Other","Arab","Any other"
"Household type","%","%","%"
"All full-time students","2.3","4.0","1.2"
"Any other household type","7.3","5.7","8.4"
"Cohab, Dependent children","2.4","1.9","2.7"
"Cohab, no children","2.7","2.0","3.1"
"Cohab, non-dependent children","0.2","0.1","0.2"
"Lone parent, Dependent children","7.8","7.4","8.0"
"Lone parent, non-dependent children","2.8","2.3","3.1"
"Married, Dependent children","25.5","29.9","22.7"
"Married, no children","7.3","6.7","7.7"
"Married, non-dependent children","4.2","3.1","5.0"
"Other, All pensioners","0.1","0.1","0.1"
"Other, with dependent children","5.4","4.6","5.9"
"Pensioner couple","1.4","1.1","1.7"
"Single non-pensioner","27.7","29.1","26.8"
"Single pensioner","3.0","2.2","3.5"
