"","Black","Black African","Black Caribbean","Black other"
"Household type","%","%","%","%"
"All full-time students","1.0","1.7","0.4","0.5"
"Any other household type","6.2","7.5","4.5","6.5"
"Cohab, Dependent children","4.0","4.1","4.0","3.8"
"Cohab, no children","2.4","2.1","2.5","2.9"
"Cohab, non-dependent children","0.4","0.2","0.6","0.4"
"Lone parent, Dependent children","18.9","20.2","16.6","21.2"
"Lone parent, non-dependent children","5.4","3.6","7.7","4.8"
"Married, Dependent children","15.0","20.3","9.6","12.0"
"Married, no children","4.1","4.1","4.2","3.3"
"Married, non-dependent children","2.5","1.8","3.7","1.7"
"Other, All pensioners","0.1","0.0","0.3","0.1"
"Other, with dependent children","6.8","8.6","4.7","6.3"
"Pensioner couple","1.5","0.3","3.1","0.8"
"Single non-pensioner","26.2","23.4","27.7","32.2"
"Single pensioner","5.5","2.0","10.4","3.5"
