"","Asian","Indian","Pakistani","Bangladeshi","Chinese","Asian other"
"Household type","%","%","%","%","%","%"
"All full-time students","2.2","1.5","1.1","1.3","7.5","2.2"
"Any other household type","8.8","9.4","7.0","6.6","10.5","9.7"
"Cohab, Dependent children","1.5","1.0","1.5","1.6","2.0","1.8"
"Cohab, no children","1.8","1.5","0.8","0.8","4.7","2.4"
"Cohab, non-dependent children","0.2","0.2","0.1","0.1","0.2","0.2"
"Lone parent, Dependent children","5.7","3.8","8.3","8.4","4.5","5.7"
"Lone parent, non-dependent children","3.1","3.5","3.1","3.2","2.7","2.7"
"Married, Dependent children","31.3","29.5","38.7","42.7","17.4","29.1"
"Married, no children","8.8","11.2","5.8","4.1","10.5","9.1"
"Married, non-dependent children","6.9","9.9","5.4","4.0","5.5","5.1"
"Other, All pensioners","0.1","0.1","0.0","0.0","0.1","0.1"
"Other, with dependent children","10.5","9.1","15.3","16.2","4.2","9.2"
"Pensioner couple","2.1","3.3","1.2","0.6","1.9","1.6"
"Single non-pensioner","14.1","12.2","9.7","9.1","25.0","18.2"
"Single pensioner","2.9","3.8","1.9","1.3","3.4","2.8"
