"Ethnicity","Household type","%"
"Black","All full-time students","1.0"
"Black","Any other household type","6.2"
"Black","Cohab, Dependent children","4.0"
"Black","Cohab, no children","2.4"
"Black","Cohab, non-dependent children","0.4"
"Black","Lone parent, Dependent children","18.9"
"Black","Lone parent, non-dependent children","5.4"
"Black","Married, Dependent children","15.0"
"Black","Married, no children","4.1"
"Black","Married, non-dependent children","2.5"
"Black","Other, All pensioners","0.1"
"Black","Other, with dependent children","6.8"
"Black","Pensioner couple","1.5"
"Black","Single non-pensioner","26.2"
"Black","Single pensioner","5.5"
"Black African","All full-time students","1.7"
"Black African","Any other household type","7.5"
"Black African","Cohab, Dependent children","4.1"
"Black African","Cohab, no children","2.1"
"Black African","Cohab, non-dependent children","0.2"
"Black African","Lone parent, Dependent children","20.2"
"Black African","Lone parent, non-dependent children","3.6"
"Black African","Married, Dependent children","20.3"
"Black African","Married, no children","4.1"
"Black African","Married, non-dependent children","1.8"
"Black African","Other, All pensioners","0.0"
"Black African","Other, with dependent children","8.6"
"Black African","Pensioner couple","0.3"
"Black African","Single non-pensioner","23.4"
"Black African","Single pensioner","2.0"
"Black Caribbean","All full-time students","0.4"
"Black Caribbean","Any other household type","4.5"
"Black Caribbean","Cohab, Dependent children","4.0"
"Black Caribbean","Cohab, no children","2.5"
"Black Caribbean","Cohab, non-dependent children","0.6"
"Black Caribbean","Lone parent, Dependent children","16.6"
"Black Caribbean","Lone parent, non-dependent children","7.7"
"Black Caribbean","Married, Dependent children","9.6"
"Black Caribbean","Married, no children","4.2"
"Black Caribbean","Married, non-dependent children","3.7"
"Black Caribbean","Other, All pensioners","0.3"
"Black Caribbean","Other, with dependent children","4.7"
"Black Caribbean","Pensioner couple","3.1"
"Black Caribbean","Single non-pensioner","27.7"
"Black Caribbean","Single pensioner","10.4"
"Black other","All full-time students","0.5"
"Black other","Any other household type","6.5"
"Black other","Cohab, Dependent children","3.8"
"Black other","Cohab, no children","2.9"
"Black other","Cohab, non-dependent children","0.4"
"Black other","Lone parent, Dependent children","21.2"
"Black other","Lone parent, non-dependent children","4.8"
"Black other","Married, Dependent children","12.0"
"Black other","Married, no children","3.3"
"Black other","Married, non-dependent children","1.7"
"Black other","Other, All pensioners","0.1"
"Black other","Other, with dependent children","6.3"
"Black other","Pensioner couple","0.8"
"Black other","Single non-pensioner","32.2"
"Black other","Single pensioner","3.5"
