"Ethnicity","Household type","%"
"Asian","All full-time students","2.2"
"Asian","Any other household type","8.8"
"Asian","Cohab, Dependent children","1.5"
"Asian","Cohab, no children","1.8"
"Asian","Cohab, non-dependent children","0.2"
"Asian","Lone parent, Dependent children","5.7"
"Asian","Lone parent, non-dependent children","3.1"
"Asian","Married, Dependent children","31.3"
"Asian","Married, no children","8.8"
"Asian","Married, non-dependent children","6.9"
"Asian","Other, All pensioners","0.1"
"Asian","Other, with dependent children","10.5"
"Asian","Pensioner couple","2.1"
"Asian","Single non-pensioner","14.1"
"Asian","Single pensioner","2.9"
"Indian","All full-time students","1.5"
"Indian","Any other household type","9.4"
"Indian","Cohab, Dependent children","1.0"
"Indian","Cohab, no children","1.5"
"Indian","Cohab, non-dependent children","0.2"
"Indian","Lone parent, Dependent children","3.8"
"Indian","Lone parent, non-dependent children","3.5"
"Indian","Married, Dependent children","29.5"
"Indian","Married, no children","11.2"
"Indian","Married, non-dependent children","9.9"
"Indian","Other, All pensioners","0.1"
"Indian","Other, with dependent children","9.1"
"Indian","Pensioner couple","3.3"
"Indian","Single non-pensioner","12.2"
"Indian","Single pensioner","3.8"
"Pakistani","All full-time students","1.1"
"Pakistani","Any other household type","7.0"
"Pakistani","Cohab, Dependent children","1.5"
"Pakistani","Cohab, no children","0.8"
"Pakistani","Cohab, non-dependent children","0.1"
"Pakistani","Lone parent, Dependent children","8.3"
"Pakistani","Lone parent, non-dependent children","3.1"
"Pakistani","Married, Dependent children","38.7"
"Pakistani","Married, no children","5.8"
"Pakistani","Married, non-dependent children","5.4"
"Pakistani","Other, All pensioners","0.0"
"Pakistani","Other, with dependent children","15.3"
"Pakistani","Pensioner couple","1.2"
"Pakistani","Single non-pensioner","9.7"
"Pakistani","Single pensioner","1.9"
"Bangladeshi","All full-time students","1.3"
"Bangladeshi","Any other household type","6.6"
"Bangladeshi","Cohab, Dependent children","1.6"
"Bangladeshi","Cohab, no children","0.8"
"Bangladeshi","Cohab, non-dependent children","0.1"
"Bangladeshi","Lone parent, Dependent children","8.4"
"Bangladeshi","Lone parent, non-dependent children","3.2"
"Bangladeshi","Married, Dependent children","42.7"
"Bangladeshi","Married, no children","4.1"
"Bangladeshi","Married, non-dependent children","4.0"
"Bangladeshi","Other, All pensioners","0.0"
"Bangladeshi","Other, with dependent children","16.2"
"Bangladeshi","Pensioner couple","0.6"
"Bangladeshi","Single non-pensioner","9.1"
"Bangladeshi","Single pensioner","1.3"
"Chinese","All full-time students","7.5"
"Chinese","Any other household type","10.5"
"Chinese","Cohab, Dependent children","2.0"
"Chinese","Cohab, no children","4.7"
"Chinese","Cohab, non-dependent children","0.2"
"Chinese","Lone parent, Dependent children","4.5"
"Chinese","Lone parent, non-dependent children","2.7"
"Chinese","Married, Dependent children","17.4"
"Chinese","Married, no children","10.5"
"Chinese","Married, non-dependent children","5.5"
"Chinese","Other, All pensioners","0.1"
"Chinese","Other, with dependent children","4.2"
"Chinese","Pensioner couple","1.9"
"Chinese","Single non-pensioner","25.0"
"Chinese","Single pensioner","3.4"
"Asian other","All full-time students","2.2"
"Asian other","Any other household type","9.7"
"Asian other","Cohab, Dependent children","1.8"
"Asian other","Cohab, no children","2.4"
"Asian other","Cohab, non-dependent children","0.2"
"Asian other","Lone parent, Dependent children","5.7"
"Asian other","Lone parent, non-dependent children","2.7"
"Asian other","Married, Dependent children","29.1"
"Asian other","Married, no children","9.1"
"Asian other","Married, non-dependent children","5.1"
"Asian other","Other, All pensioners","0.1"
"Asian other","Other, with dependent children","9.2"
"Asian other","Pensioner couple","1.6"
"Asian other","Single non-pensioner","18.2"
"Asian other","Single pensioner","2.8"
