"Rank","Ethnicity","%","Number of staff (FTE)"
"Police Officer","Asian","3.1","3,884"
"Police Officer","Black","1.3","1,586"
"Police Officer","Mixed","2.2","2,711"
"Police Officer","White","92.7","116,536"
"Police Officer","Other inc Chinese","0.8","993"
"Police Officer","Unknown","N/A","3,400"
"Police Staff","Asian","3.5","2,249"
"Police Staff","Black","2.1","1,355"
"Police Staff","Mixed","1.2","772"
"Police Staff","White","92.5","59,264"
"Police Staff","Other inc Chinese","0.6","408"
"Police Staff","Unknown","N/A","3,154"
"Community Support Officer","Asian","4.7","417"
"Community Support Officer","Black","2.9","255"
"Community Support Officer","Mixed","1.5","133"
"Community Support Officer","White","89.7","8,024"
"Community Support Officer","Other inc Chinese","1.2","111"
"Community Support Officer","Unknown","N/A","240"
"Designated Officer","Asian","3.2","153"
"Designated Officer","Black","2.7","129"
"Designated Officer","Mixed","1.7","80"
"Designated Officer","White","91.7","4,399"
"Designated Officer","Other inc Chinese","0.8","39"
"Designated Officer","Unknown","N/A","330"
