"","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Grade","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"All grades","30.2","34,815","5.2","5,953","2.6","2,940","3.5","3,975","54.0","62,135","4.6","5,351"
"Senior Doctor (Career Grade)","","","","","","","","","","","",""
"Consultant","29.1","14,540","2.9","1,437","2.1","1,059","2.4","1,212","59.9","29,940","3.5","1,773"
"Associate Specialist","41.7","839","5.2","105","0.7","14","3.0","61","40.5","814","8.9","178"
"Specialty Doctor","42.9","3,422","7.4","587","0.9","75","3.6","285","37.4","2,990","7.8","626"
"Staff Grade","39.1","119","6.9","21","1.6","5","5.3","16","39.5","120","7.6","23"
"Junior Doctor (Training and equivalent)","","","","","","","","","","","",""
"Specialty Registrar","29.1","8,522","7.5","2,193","3.4","998","4.4","1,304","50.3","14,746","5.3","1,559"
"Core Training","31.5","3,902","8.0","992","2.9","365","4.7","582","47.1","5,844","5.8","713"
"Foundation Doctor Year 1","25.3","1,457","4.4","254","4.1","238","4.3","250","58.5","3,372","3.4","197"
"Foundation Doctor Year 2","30.2","1,535","6.1","310","3.2","162","4.3","219","51.4","2,613","4.9","248"
"Other doctors","","","","","","","","","","","",""
"Hospital Practitioner / Clinical Assistant","18.7","273","2.1","30","1.0","14","1.7","25","74.8","1,090","1.8","26"
"Other and Local HCHS Doctor Grades","23.5","287","2.5","31","1.3","16","2.8","34","67.9","830","2.0","24"
