"","Boys","","","Girls","",""
"Ethnicity","Expected standard","Higher standard","Average scaled score","Expected standard","Higher standard","Average scaled score"
"All","73","30","105","82","39","107"
"Asian","81","43","108","87","53","110"
"Bangladeshi","83","43","108","88","53","110"
"Indian","86","53","110","92","63","111"
"Pakistani","76","34","106","83","44","108"
"Asian other","83","48","109","89","58","110"
"Black","77","35","106","85","45","108"
"Black African","80","39","107","87","48","109"
"Black Caribbean","68","23","104","81","34","106"
"Black other","73","30","105","84","43","108"
"Chinese","87","56","110","92","67","112"
"Mixed","75","32","106","84","42","108"
"Mixed White/Asian","80","40","107","88","49","109"
"Mixed White/Black African","77","31","106","85","42","108"
"Mixed White/Black Caribbean","67","22","104","78","32","106"
"Mixed other","77","35","106","86","45","108"
"White","72","27","105","81","36","107"
"White British","72","27","105","82","36","107"
"White Irish","75","35","106","85","42","108"
"Gypsy/Roma","23","4","94","33","5","96"
"Irish Traveller","33","7","97","36","8","98"
"White other","71","30","105","78","38","107"
"Other","74","35","106","79","42","108"
"Unknown","60","25","104","68","32","106"
