"Ethnicity","Region","%"
"All","All","22.2"
"All","East","19.3"
"All","East Midlands","19.1"
"All","London","21.5"
"All","North East","25.7"
"All","North West","21.1"
"All","Scotland","21.9"
"All","South East","16.9"
"All","South West","20.5"
"All","Wales","24.7"
"All","West Midlands","29.8"
"All","Yorkshire and The Humber","21.5"
"Asian","All","16.9"
"Asian","East","14.0"
"Asian","East Midlands","10.5"
"Asian","London","15.9"
"Asian","North East","17.9"
"Asian","North West","15.6"
"Asian","Scotland","10.5"
"Asian","South East","11.4"
"Asian","South West","11.9"
"Asian","Wales","14.3"
"Asian","West Midlands","25.8"
"Asian","Yorkshire and The Humber","14.9"
"Black","All","22.5"
"Black","East","18.0"
"Black","East Midlands","16.4"
"Black","London","23.2"
"Black","North East","14.9"
"Black","North West","14.2"
"Black","Scotland","9.7"
"Black","South East","14.4"
"Black","South West","20.4"
"Black","Wales","18.8"
"Black","West Midlands","36.4"
"Black","Yorkshire and The Humber","15.7"
"Mixed","All","17.3"
"Mixed","East","13.3"
"Mixed","East Midlands","13.9"
"Mixed","London","17.7"
"Mixed","North East","15.0"
"Mixed","North West","13.5"
"Mixed","Scotland","7.7"
"Mixed","South East","11.8"
"Mixed","South West","14.8"
"Mixed","Wales","17.5"
"Mixed","West Midlands","28.9"
"Mixed","Yorkshire and The Humber","14.2"
"White British","All","23.3"
"White British","East","20.0"
"White British","East Midlands","20.9"
"White British","London","23.4"
"White British","North East","26.3"
"White British","North West","23.0"
"White British","Scotland","23.1"
"White British","South East","17.8"
"White British","South West","21.1"
"White British","Wales","25.3"
"White British","West Midlands","29.6"
"White British","Yorkshire and The Humber","23.6"
"White other","All","14.9"
"White other","East","12.3"
"White other","East Midlands","10.0"
"White other","London","18.0"
"White other","North East","18.8"
"White other","North West","14.0"
"White other","Scotland","10.2"
"White other","South East","11.1"
"White other","South West","12.3"
"White other","Wales","15.7"
"White other","West Midlands","20.9"
"White other","Yorkshire and The Humber","11.1"
"Other","All","14.5"
"Other","East","14.3"
"Other","East Midlands","9.2"
"Other","London","15.8"
"Other","North East","14.9"
"Other","North West","10.6"
"Other","Scotland","12.1"
"Other","South East","9.9"
"Other","South West","14.9"
"Other","Wales","15.6"
"Other","West Midlands","21.9"
"Other","Yorkshire and The Humber","12.6"
"Unknown","All","30.1"
"Unknown","East","26.8"
"Unknown","East Midlands","23.2"
"Unknown","London","31.6"
"Unknown","North East","36.1"
"Unknown","North West","25.5"
"Unknown","Scotland","31.9"
"Unknown","South East","19.8"
"Unknown","South West","24.0"
"Unknown","Wales","30.9"
"Unknown","West Midlands","40.2"
"Unknown","Yorkshire and The Humber","26.3"
