"","All","Asian","Black","Mixed","White British","White other","Other","Unknown"
"Region","%","%","%","%","%","%","%","%"
"All","22.2","16.9","22.5","17.3","23.3","14.9","14.5","30.1"
"East","19.3","14.0","18.0","13.3","20.0","12.3","14.3","26.8"
"East Midlands","19.1","10.5","16.4","13.9","20.9","10.0","9.2","23.2"
"London","21.5","15.9","23.2","17.7","23.4","18.0","15.8","31.6"
"North East","25.7","17.9","14.9","15.0","26.3","18.8","14.9","36.1"
"North West","21.1","15.6","14.2","13.5","23.0","14.0","10.6","25.5"
"Scotland","21.9","10.5","9.7","7.7","23.1","10.2","12.1","31.9"
"South East","16.9","11.4","14.4","11.8","17.8","11.1","9.9","19.8"
"South West","20.5","11.9","20.4","14.8","21.1","12.3","14.9","24.0"
"Wales","24.7","14.3","18.8","17.5","25.3","15.7","15.6","30.9"
"West Midlands","29.8","25.8","36.4","28.9","29.6","20.9","21.9","40.2"
"Yorkshire and The Humber","21.5","14.9","15.7","14.2","23.6","11.1","12.6","26.3"
