"Ethnicity","%","Pupils"
"All","38.4","523,626"
"Asian","48.5","55,737"
"Bangladeshi","46.2","9,384"
"Indian","57.0","14,575"
"Pakistani","41.8","22,840"
"Asian other","54.1","8,938"
"Black","45.0","28,949"
"Black African","49.1","18,358"
"Black Caribbean","36.1","6,933"
"Black other","41.0","3,658"
"Chinese","63.6","1,875"
"Mixed","41.8","24,646"
"Mixed White/Asian","48.4","5,537"
"Mixed White/Black African","42.7","2,936"
"Mixed White/Black Caribbean","30.5","7,093"
"Mixed other","46.4","9,080"
"White","36.0","396,680"
"White British","35.1","367,680"
"White Irish","46.1","1,646"
"Gypsy/Roma","8.9","1,107"
"Irish Traveller","9.9","111"
"White other","49.3","26,136"
"Other","50.0","8,573"
"Unknown","31.2","7,166"
