"FSM","Ethnicity","%"
"FSM","All","46"
"FSM","Asian","57"
"FSM","Bangladeshi","63"
"FSM","Indian","61"
"FSM","Pakistani","53"
"FSM","Asian other","58"
"FSM","Black","54"
"FSM","Black African","57"
"FSM","Black Caribbean","47"
"FSM","Black other","54"
"FSM","Chinese","77"
"FSM","Mixed","50"
"FSM","Mixed White/Asian","52"
"FSM","Mixed White/Black African","51"
"FSM","Mixed White/Black Caribbean","44"
"FSM","Mixed other","53"
"FSM","White","43"
"FSM","White British","43"
"FSM","White Irish","40"
"FSM","Gypsy/Roma","15"
"FSM","Irish Traveller","20"
"FSM","White other","48"
"FSM","Other","49"
"FSM","Unknown","45"
"Non-FSM","All","68"
"Non-FSM","Asian","70"
"Non-FSM","Bangladeshi","70"
"Non-FSM","Indian","77"
"Non-FSM","Pakistani","63"
"Non-FSM","Asian other","74"
"Non-FSM","Black","66"
"Non-FSM","Black African","68"
"Non-FSM","Black Caribbean","58"
"Non-FSM","Black other","63"
"Non-FSM","Chinese","82"
"Non-FSM","Mixed","70"
"Non-FSM","Mixed White/Asian","76"
"Non-FSM","Mixed White/Black African","69"
"Non-FSM","Mixed White/Black Caribbean","62"
"Non-FSM","Mixed other","71"
"Non-FSM","White","67"
"Non-FSM","White British","68"
"Non-FSM","White Irish","75"
"Non-FSM","Gypsy/Roma","19"
"Non-FSM","Irish Traveller","29"
"Non-FSM","White other","62"
"Non-FSM","Other","64"
"Non-FSM","Unknown","53"
