"","All","Asian","Indian","Pakistani, Bangladeshi","Other Asian","Black","Mixed","White","White British","White Irish","White Other","Other"
"Occupation","%","%","%","%","%","%","%","%","%","%","%","%"
"Managers, Directors And Senior Officials","10.3","9.0","10.6","8.1","7.2","4.6","11.1","10.7","10.7","13.5","10.8","8.8"
"Professional Occupations","25.7","33.0","39.8","21.9","33.9","24.7","26.9","25.0","24.7","35.0","27.4","31.3"
"Associate Professional And Technical Occupations","14.6","12.2","12.9","11.9","11.3","13.9","15.4","15.0","15.1","15.2","13.4","10.1"
"Administrative And Secretarial Occupations","10.6","10.3","9.7","12.7","8.5","9.7","11.1","10.6","10.8","8.1","9.1","9.0"
"Skilled Trades Occupations","8.9","5.3","3.9","6.1","6.7","4.3","6.3","9.4","9.5","6.8","8.7","4.7"
"Caring, Leisure And Other Service Occupations","8.1","7.0","6.0","5.4","10.3","18.5","6.4","7.7","7.9","7.3","6.0","12.3"
"Sales And Customer Service Occupations","6.8","7.8","5.8","11.5","6.8","5.6","9.5","6.7","6.9","3.6","4.6","6.4"
"Process, Plant And Machine Operatives","5.6","6.4","4.5","10.7","5.0","5.5","3.6","5.6","5.4","3.6","7.4","5.4"
"Elementary Occupations","9.4","9.2","6.7","11.7","10.4","13.2","9.6","9.3","9.0","7.1","12.4","12.0"
