"Ethnicity","Geography","%","Number of Respondents "
"All","East Midlands","60.2","21,242"
"All","East","61.5","22,797"
"All","London","62.3","16,364"
"All","North East","60.0","7,500"
"All","North West","59.0","26,961"
"All","South East","64.4","33,679"
"All","South West","65.7","15,906"
"All","West Midlands","57.0","16,328"
"All","Yorkshire and the Humber","59.8","16,958"
"Asian","East Midlands","53.1","738"
"Asian","East","50.4","711"
"Asian","London","51.1","2,232"
"Asian","North East","62.8","163"
"Asian","North West","43.2","1,182"
"Asian","South East","51.9","1,193"
"Asian","South West","52.5","178"
"Asian","West Midlands","48.3","934"
"Asian","Yorkshire and the Humber","41.1","493"
"Black","East Midlands","48.3","252"
"Black","East","51.7","316"
"Black","London","54.6","971"
"Black","North East","?","?"
"Black","North West","49.8","288"
"Black","South East","56.3","316"
"Black","South West","67.7","73"
"Black","West Midlands","48.2","263"
"Black","Yorkshire and the Humber","48.9","143"
"Chinese","East Midlands","68.7","81"
"Chinese","East","55.5","112"
"Chinese","London","65.3","314"
"Chinese","North East","?","?"
"Chinese","North West","45.4","170"
"Chinese","South East","47.1","156"
"Chinese","South West","46.8","58"
"Chinese","West Midlands","?","?"
"Chinese","Yorkshire and the Humber","?","?"
"Mixed","East Midlands","62.4","217"
"Mixed","East","66.7","273"
"Mixed","London","71.9","490"
"Mixed","North East","59.7","46"
"Mixed","North West","65.7","288"
"Mixed","South East","70.3","380"
"Mixed","South West","70.2","139"
"Mixed","West Midlands","59.4","195"
"Mixed","Yorkshire and the Humber","64.5","151"
"White British","East Midlands","61.4","18,417"
"White British","East","62.8","19,155"
"White British","London","67.9","8,229"
"White British","North East","60.1","6,779"
"White British","North West","60.8","23,026"
"White British","South East","65.7","28,499"
"White British","South West","66.4","14,326"
"White British","West Midlands","59.2","13,716"
"White British","Yorkshire and the Humber","61.5","15,113"
"White other","East Midlands","58.5","846"
"White other","East","61.4","1,328"
"White other","London","66.9","2,584"
"White other","North East","61.9","213"
"White other","North West","61.1","964"
"White other","South East","62.8","1,917"
"White other","South West","64.6","639"
"White other","West Midlands","58.4","596"
"White other","Yorkshire and the Humber","59.7","493"
"Other","East Midlands","43.2","90"
"Other","East","50.8","151"
"Other","London","55.7","468"
"Other","North East","?","?"
"Other","North West","41.7","190"
"Other","South East","59.1","252"
"Other","South West","70.9","55"
"Other","West Midlands","39.3","84"
"Other","Yorkshire and the Humber","57.5","81"
