"Age Bracket","Ethnicity","%","Number of Respondents "
"16-24","All","70.1","11,924"
"16-24","Asian","55.2","1,165"
"16-24","Black","55.9","392"
"16-24","Chinese","56.2","132"
"16-24","Mixed","65.4","433"
"16-24","White British","75.6","8,528"
"16-24","White other","71.6","662"
"16-24","Other","59.9","161"
"25-34","All","65.7","23,606"
"25-34","Asian","46.9","1,720"
"25-34","Black","56.4","447"
"25-34","Chinese","61.5","248"
"25-34","Mixed","75.3","578"
"25-34","White British","69.1","17,227"
"25-34","White other","65.8","2,291"
"25-34","Other","59.2","259"
"35-44","All","64.3","26,921"
"35-44","Asian","49.0","2,177"
"35-44","Black","55.7","621"
"35-44","Chinese","61.4","276"
"35-44","Mixed","66.5","449"
"35-44","White British","69.0","19,426"
"35-44","White other","60.4","2,609"
"35-44","Other","46.7","340"
"45-54","All","65.5","29,528"
"45-54","Asian","48.1","1,340"
"45-54","Black","50.0","552"
"45-54","Chinese","51.7","148"
"45-54","Mixed","63.9","341"
"45-54","White British","68.3","24,322"
"45-54","White other","63.4","1,634"
"45-54","Other","51.9","291"
"55-64","All","61.8","33,984"
"55-64","Asian","49.0","694"
"55-64","Black","54.1","391"
"55-64","Chinese","41.5","127"
"55-64","Mixed","64.0","249"
"55-64","White British","62.9","30,343"
"55-64","White other","66.2","1,120"
"55-64","Other","51.3","186"
"65-74","All","57.3","32,426"
"65-74","Asian","49.3","458"
"65-74","Black","36.0","140"
"65-74","Chinese","51.6","79"
"65-74","Mixed","73.8","93"
"65-74","White British","57.7","29,926"
"65-74","White other","60.6","831"
"65-74","Other","54.9","129"
"75+","All","37.6","17,758"
"75+","Asian","35.5","225"
"75+","Black","?","?"
"75+","Chinese","?","?"
"75+","Mixed","?","?"
"75+","White British","37.7","16,391"
"75+","White other","46.5","391"
"75+","Other","?","?"
