"NS-SEC description","Ethnicity","%","Number of Respondents "
"Managerial and professional occupations","All","71.0","85,907"
"Managerial and professional occupations","Asian","57.6","3,813"
"Managerial and professional occupations","Black","58.8","1,245"
"Managerial and professional occupations","Chinese","58.5","598"
"Managerial and professional occupations","Mixed","74.0","1,148"
"Managerial and professional occupations","White British","72.9","70,736"
"Managerial and professional occupations","White other","71.5","5,438"
"Managerial and professional occupations","Other","61.6","705"
"Intermediate occupations and lower supervisory","All","61.4","39,950"
"Intermediate occupations and lower supervisory","Asian","46.1","1,427"
"Intermediate occupations and lower supervisory","Black","47.2","477"
"Intermediate occupations and lower supervisory","Chinese","62.2","168"
"Intermediate occupations and lower supervisory","Mixed","71.2","417"
"Intermediate occupations and lower supervisory","White British","63.3","34,391"
"Intermediate occupations and lower supervisory","White other","60.2","1,839"
"Intermediate occupations and lower supervisory","Other","51.9","265"
"Routine and manual occupations","All","54.2","16,408"
"Routine and manual occupations","Asian","39.2","741"
"Routine and manual occupations","Black","56.8","273"
"Routine and manual occupations","Chinese","45.4","79"
"Routine and manual occupations","Mixed","54.4","192"
"Routine and manual occupations","White British","56.1","13,564"
"Routine and manual occupations","White other","49.6","1,017"
"Routine and manual occupations","Other","57.4","118"
"Long term unemployed","All","43.3","3,662"
"Long term unemployed","Asian","35.6","477"
"Long term unemployed","Black","42.3","123"
"Long term unemployed","Chinese","*","*"
"Long term unemployed","Mixed","49.3","79"
"Long term unemployed","White British","45.5","2,532"
"Long term unemployed","White other","48.6","157"
"Long term unemployed","Other","32.6","85"
"Full-time student or unclassified","All","65.0","13,516"
"Full-time student or unclassified","Asian","53.4","1,127"
"Full-time student or unclassified","Black","54.2","449"
"Full-time student or unclassified","Chinese","55.1","153"
"Full-time student or unclassified","Mixed","68.0","311"
"Full-time student or unclassified","White British","70.6","9,235"
"Full-time student or unclassified","White other","68.9","724"
"Full-time student or unclassified","Other","51.7","196"
