"Gender","Ethnicity","%","Number of Respondents "
"Female","All","60.1","97,869"
"Female","Asian","46.2","4,016"
"Female","Black","48.5","1,597"
"Female","Chinese","53.9","637"
"Female","Mixed","67.2","1,305"
"Female","White British","61.8","81,058"
"Female","White other","63.4","5,703"
"Female","Other","51.9","769"
"Male","All","63.0","78,967"
"Male","Asian","51.9","3,780"
"Male","Black","59.6","1,044"
"Male","Chinese","60.1","389"
"Male","Mixed","68.7","858"
"Male","White British","64.7","65,689"
"Male","White other","63.6","3,833"
"Male","Other","55.0","638"
"Other gender","All","48.5","449"
"Other gender","Asian","?","?"
"Other gender","Black","?","?"
"Other gender","Chinese","?","?"
"Other gender","Mixed","?","?"
"Other gender","White British","53.8","206"
"Other gender","White other","?","?"
"Other gender","Other","?","?"
