"Ethnicity","Sector","Percentage","Number"
"White","All","89.1","3,813,745"
"White","ABDE. Agriculture & utilities","94.6","123,847"
"White","C. Manufacturing","88.8","178,767"
"White","F. Construction","92.9","762,748"
"White","G. Retail & wholesale","83.8","262,973"
"White","H. Transport & storage","95.6","265,385"
"White","I. Accommodation & food service","83.0","43,759"
"White","J. Information & communication","88.4","246,802"
"White","KL. Financial & real estate","91.6","124,642"
"White","M. Professional & scientific","90.6","562,148"
"White","N. Administrative services","87.9","321,752"
"White","P. Education","88.8","234,092"
"White","Q. Health and social care","85.1","254,606"
"White","R. Arts & entertainment","85.7","213,751"
"White","S. Other services","82.5","218,937"
"Other than White","All","4.4","189,606"
"Other than White","ABDE. Agriculture & utilities","0.9","1,135"
"Other than White","C. Manufacturing","4.0","7,981"
"Other than White","F. Construction","2.0","16,743"
"Other than White","G. Retail & wholesale","12.3","38,510"
"Other than White","H. Transport & storage","2.5","6,837"
"Other than White","I. Accommodation & food service","5.4","2,864"
"Other than White","J. Information & communication","5.2","14,502"
"Other than White","KL. Financial & real estate","4.8","6,538"
"Other than White","M. Professional & scientific","4.6","28,731"
"Other than White","N. Administrative services","5.5","20,222"
"Other than White","P. Education","3.9","10,227"
"Other than White","Q. Health and social care","5.4","16,174"
"Other than White","R. Arts & entertainment","2.5","6,251"
"Other than White","S. Other services","4.8","12,747"
"Unknown","All","6.4","274,874"
"Unknown","ABDE. Agriculture & utilities","4.5","5,952"
"Unknown","C. Manufacturing","7.2","14,582"
"Unknown","F. Construction","5.1","41,954"
"Unknown","G. Retail & wholesale","4.0","12,468"
"Unknown","H. Transport & storage","2.0","5,494"
"Unknown","I. Accommodation & food service","11.5","6,081"
"Unknown","J. Information & communication","6.4","17,811"
"Unknown","KL. Financial & real estate","3.6","4,915"
"Unknown","M. Professional & scientific","4.8","29,875"
"Unknown","N. Administrative services","6.6","24,232"
"Unknown","P. Education","7.4","19,396"
"Unknown","Q. Health and social care","9.5","28,540"
"Unknown","R. Arts & entertainment","11.8","29,528"
"Unknown","S. Other services","12.7","33,716"
