"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Local authority ","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"Barking and Dagenham","66","2,296","75","574","69","754","90","9","59","183","58","740","52","25"
"Barnet","73","3,070","79","371","66","329","84","46","75","320","75","1,664","66","305"
"Barnsley","66","1,869","92","23","73","16","100","2","58","41","67","1,771","80","8"
"Bath and North East Somerset","67","1,220","86","24","64","7","60","3","66","62","67","1,109","56","5"
"Bedford","54","1,162","51","169","54","67","67","4","46","116","56","790","39","11"
"Bexley","70","2,341","83","225","75","454","96","54","71","167","66","1,388","68","39"
"Birmingham","62","10,080","65","3,940","60","1,266","72","63","61","855","60","3,315","62","523"
"Blackburn with Darwen","66","1,452","68","668","76","25","60","3","69","50","64","685","90","19"
"Blackpool","67","1,120","71","25","20","1","50","2","62","37","67","1,050","50","4"
"Bolton","65","2,549","65","630","52","130","100","6","67","105","66","1,624","55","41"
"Bournemouth, Christchurch and Poole","67","2,567","82","108","75","12","86","12","71","160","66","2,228","58","23"
"Bracknell Forest","65","921","78","61","63","30","80","8","71","72","63","739","86","6"
"Bradford","63","4,949","66","2,215","67","88","71","5","61","247","60","2,311","61","62"
"Brent","68","2,486","73","803","65","568","78","7","72","205","69","635","59","252"
"Brighton and Hove","67","1,802","74","63","62","36","74","14","73","205","66","1,420","55","31"
"Bristol, City of","65","3,141","63","243","56","305","78","18","59","262","67","2,268","59","29"
"Bromley","75","2,785","85","181","71","259","96","27","76","311","74","1,917","69","47"
"Buckinghamshire","66","4,163","67","707","57","94","84","21","67","327","67","2,955","67","28"
"Bury","65","1,539","61","222","43","25","83","10","60","70","67","1,192","52","16"
"Calderdale","65","1,789","67","320","44","11","89","8","66","73","65","1,363","67","10"
"Cambridgeshire","63","4,400","70","207","63","54","87","41","66","247","62","3,759","69","42"
"Camden","73","1,123","74","253","69","200","88","15","74","126","76","461","64","52"
"Central Bedfordshire","61","2,129","72","53","66","59","100","4","61","159","61","1,824","72","13"
"Cheshire East","66","2,804","70","60","56","9","50","7","70","123","66","2,585","58","11"
"Cheshire West and Chester","64","2,560","75","45","47","9","71","12","62","66","64","2,405","81","17"
"City of London","82","23","64","7","100","2","N/A","N/A","100","4","100","9","50","1"
"Cornwall","61","3,589","60","9","33","1","78","7","62","89","61","3,436","59","13"
"County Durham","65","3,737","79","27","78","7","67","12","74","74","65","3,595","68","13"
"Coventry","62","2,738","65","627","63","334","67","14","63","184","61","1,522","56","40"
"Croydon","67","3,092","76","556","63","833","81","26","62","454","67","1,141","68","47"
"Cumbria","66","3,441","66","29","56","5","63","5","66","51","66","3,300","63","12"
"Darlington","66","851","68","21","71","5","0","0","70","21","66","791","64","7"
"Derby","61","2,010","64","402","60","78","100","10","61","152","60","1,309","53","39"
