"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All"," 10-11","66","%","3499","2296"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","All"," 10-11","73","%","4185","3070"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Barnsley","Local authority","E08000016","All"," 10-11","66","%","2816","1869"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bath and North East Somerset","Local authority","E06000022","All"," 10-11","67","%","1812","1220"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bedford","Local authority","E06000055","All"," 10-11","54","%","2169","1162"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bexley","Local authority","E09000004","All"," 10-11","70","%","3364","2341"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Birmingham","Local authority","E08000025","All"," 10-11","62","%","16228","10080"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Blackburn with Darwen","Local authority","E06000008","All"," 10-11","66","%","2198","1452"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Blackpool","Local authority","E06000009","All"," 10-11","67","%","1674","1120"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bolton","Local authority","E08000001","All"," 10-11","65","%","3947","2549"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bournemouth, Christchurch and Poole","Local authority","E06000058","All"," 10-11","67","%","3832","2567"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bracknell Forest","Local authority","E06000036","All"," 10-11","65","%","1423","921"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bradford","Local authority","E08000032","All"," 10-11","63","%","7891","4949"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Brent","Local authority","E09000005","All"," 10-11","68","%","3659","2486"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Brighton and Hove","Local authority","E06000043","All"," 10-11","67","%","2694","1802"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bristol, City of","Local authority","E06000023","All"," 10-11","65","%","4850","3141"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bromley","Local authority","E09000006","All"," 10-11","75","%","3737","2785"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Buckinghamshire","Local authority","E10000002","All"," 10-11","66","%","6267","4163"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bury","Local authority","E08000002","All"," 10-11","65","%","2376","1539"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Calderdale","Local authority","E08000033","All"," 10-11","65","%","2741","1789"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Cambridgeshire","Local authority","E10000003","All"," 10-11","63","%","7008","4400"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Camden","Local authority","E09000007","All"," 10-11","73","%","1534","1123"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Central Bedfordshire","Local authority","E06000056","All"," 10-11","61","%","3481","2129"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Cheshire East","Local authority","E06000049","All"," 10-11","66","%","4242","2804"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Cheshire West and Chester","Local authority","E06000050","All"," 10-11","64","%","3996","2560"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","City of London","Local authority","E09000001","All"," 10-11","82","%","28","23"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Cornwall","Local authority","E06000052","All"," 10-11","61","%","5856","3589"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","County Durham","Local authority","E06000047","All"," 10-11","65","%","5728","3737"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Coventry","Local authority","E08000026","All"," 10-11","62","%","4401","2738"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Croydon","Local authority","E09000008","All"," 10-11","67","%","4640","3092"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Cumbria","Local authority","E10000006","All"," 10-11","66","%","5229","3441"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Darlington","Local authority","E06000005","All"," 10-11","66","%","1280","851"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Derby","Local authority","E06000015","All"," 10-11","61","%","3319","2010"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Derbyshire","Local authority","E10000007","All"," 10-11","64","%","8725","5569"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Devon","Local authority","E10000008","All"," 10-11","64","%","7905","5021"
"Percentage of pupils reaching the expected standard in key stage 2 reading, writing and maths","All","ONS 2011 5+1","2018-2019","Academic Year","Doncaster","Local authority","E08000017","All"," 10-11","61","%","3749","2274"
