"Measure","NHS_trust_type","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust","Value","Value_type","Relative_likelihood_White:Other"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","R0A","White","White & Other","North West","Grouped region","Manchester University NHS Foundation Trust","28","%","1.42"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","R0A","Other","White & Other","North West","Grouped region","Manchester University NHS Foundation Trust","20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","R0B","White","White & Other","North East and Yorkshire","Grouped region","South Tyneside and Sunderland NHS Foundation Trust","46","%","1.11"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","R0B","Other","White & Other","North East and Yorkshire","Grouped region","South Tyneside and Sunderland NHS Foundation Trust","41","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","R0D","White","White & Other","South West","Grouped region","University Hospitals Dorset NHS Foundation Trust","29","%","1.26"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","R0D","Other","White & Other","South West","Grouped region","University Hospitals Dorset NHS Foundation Trust","23","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","R1A","White","White & Other","Midlands","Grouped region","Herefordshire and Worcestershire Health and Care NHS Trust","32","%","1.86"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","R1A","Other","White & Other","Midlands","Grouped region","Herefordshire and Worcestershire Health and Care NHS Trust","17","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","R1C","White","White & Other","South East","Grouped region","Solent NHS Trust","24","%","1.36"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","R1C","Other","White & Other","South East","Grouped region","Solent NHS Trust","17","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","R1D","White","White & Other","Midlands","Grouped region","Shropshire Community Health NHS Trust","27","%","2.11"
"Percentage of shortlisted applicants who are appointed for an NHS job","Community Trusts","R1D","Other","White & Other","Midlands","Grouped region","Shropshire Community Health NHS Trust","13","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts / Ambulance Trusts / Community Trusts / Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","R1F","White","White & Other","South East","Grouped region","Isle of Wight NHS Trust","33","%","1.6"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts / Ambulance Trusts / Community Trusts / Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","R1F","Other","White & Other","South East","Grouped region","Isle of Wight NHS Trust","21","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","R1H","White","White & Other","London","Grouped region","Barts Health NHS Trust","23","%","1.65"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","R1H","Other","White & Other","London","Grouped region","Barts Health NHS Trust","14","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","R1K","White","White & Other","London","Grouped region","London North West University Healthcare NHS Trust","20","%","1.24"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","R1K","Other","White & Other","London","Grouped region","London North West University Healthcare NHS Trust","16","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","R1L","White","White & Other","East of England","Grouped region","Essex Partnership University NHS Foundation Trust","32","%","1.59"
"Percentage of shortlisted applicants who are appointed for an NHS job","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","R1L","Other","White & Other","East of England","Grouped region","Essex Partnership University NHS Foundation Trust","20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Acute and Acute & Community Trusts","RA2","White","White & Other","South East","Grouped region","Royal Surrey County Hospital NHS Foundation Trust","28","%","1.51"
