"Ethnicity","Time","Self-harm incidents per 1,000 prisoners"
"Asian","2012","91"
"Asian","2013","98"
"Asian","2014","83"
"Asian","2015","124"
"Asian","2016","146"
"Asian","2017","148"
"Black","2012","65"
"Black","2013","72"
"Black","2014","72"
"Black","2015","81"
"Black","2016","94"
"Black","2017","100"
"Mixed","2012","136"
"Mixed","2013","198"
"Mixed","2014","231"
"Mixed","2015","274"
"Mixed","2016","387"
"Mixed","2017","328"
"White","2012","325"
"White","2013","326"
"White","2014","363"
"White","2015","450"
"White","2016","551"
"White","2017","621"
"Other","2012","157"
"Other","2013","213"
"Other","2014","185"
"Other","2015","225"
"Other","2016","347"
"Other","2017","357"
