"Outcome","Ethnicity","%"
"Reliably improved","Asian","62.7"
"Reliably improved","Bangladeshi","61.7"
"Reliably improved","Indian","65.3"
"Reliably improved","Pakistani","61.3"
"Reliably improved","Asian other","60.4"
"Reliably improved","Black","63.9"
"Reliably improved","Black African","63.1"
"Reliably improved","Black Caribbean","64.5"
"Reliably improved","Black other","64.2"
"Reliably improved","Mixed","63.2"
"Reliably improved","Mixed White/Asian","62.7"
"Reliably improved","Mixed White/Black African","64.1"
"Reliably improved","Mixed White/Black Caribbean","63.7"
"Reliably improved","Mixed other","62.8"
"Reliably improved","White","67.2"
"Reliably improved","White British","67.3"
"Reliably improved","White Irish","65.8"
"Reliably improved","White other","65.6"
"Reliably improved","Other inc Chinese","61.7"
"Reliably improved","Chinese","65.4"
"Reliably improved","Any other","61.0"
"No reliable change","Asian","28.4"
"No reliable change","Bangladeshi","28.1"
"No reliable change","Indian","27.1"
"No reliable change","Pakistani","29.1"
"No reliable change","Asian other","30.0"
"No reliable change","Black","27.3"
"No reliable change","Black African","27.9"
"No reliable change","Black Caribbean","26.9"
"No reliable change","Black other","27.1"
"No reliable change","Mixed","28.3"
"No reliable change","Mixed White/Asian","28.8"
"No reliable change","Mixed White/Black African","26.8"
"No reliable change","Mixed White/Black Caribbean","27.9"
"No reliable change","Mixed other","28.7"
"No reliable change","White","26.2"
"No reliable change","White British","26.2"
"No reliable change","White Irish","26.7"
"No reliable change","White other","27.0"
"No reliable change","Other inc Chinese","28.8"
"No reliable change","Chinese","27.7"
"No reliable change","Any other","29.0"
"Reliably deteriorated","Asian","7.5"
"Reliably deteriorated","Bangladeshi","8.6"
"Reliably deteriorated","Indian","6.4"
"Reliably deteriorated","Pakistani","8.3"
"Reliably deteriorated","Asian other","8.1"
"Reliably deteriorated","Black","7.3"
"Reliably deteriorated","Black African","7.5"
"Reliably deteriorated","Black Caribbean","7.3"
"Reliably deteriorated","Black other","7.2"
"Reliably deteriorated","Mixed","7.2"
"Reliably deteriorated","Mixed White/Asian","7.2"
"Reliably deteriorated","Mixed White/Black African","7.9"
"Reliably deteriorated","Mixed White/Black Caribbean","7.3"
"Reliably deteriorated","Mixed other","6.9"
"Reliably deteriorated","White","5.7"
"Reliably deteriorated","White British","5.7"
"Reliably deteriorated","White Irish","6.6"
"Reliably deteriorated","White other","6.3"
"Reliably deteriorated","Other inc Chinese","8.0"
"Reliably deteriorated","Chinese","5.9"
"Reliably deteriorated","Any other","8.4"
