"Ethnicity","%","Students in cohort"
"All","13.0","218,398"
"Asian","11.0","24,942"
"Bangladeshi","7.8","4,194"
"Indian","15.5","8,222"
"Pakistani","7.3","7,788"
"Asian other","11.8","4,738"
"Black","5.5","10,475"
"Black African","6.1","7,520"
"Black Caribbean","3.4","1,839"
"Black other","5.4","1,116"
"Chinese","25.7","1,480"
"Mixed","11.2","8,982"
"Mixed White/Asian","15.3","2,511"
"Mixed White/Black African","8.3","1,080"
"Mixed White/Black Caribbean","6.2","1,812"
"Mixed other","11.8","3,579"
"White","11.0","131,947"
"White British","11.0","121,533"
"White Irish","13.8","816"
"Gypsy/Roma","0.0","30"
"Irish Traveller","0.0","9"
"White other","11.5","9,559"
"Other","10.2","3,526"
"Unknown","23.4","37,046"
