"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Value","Numerator"
"Number of self inflicted deaths per 1000","1999","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","76"
"Number of self inflicted deaths per 1000","1999","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","1999","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","1999","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","1999","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","1999","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","1999","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","1999","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","1999","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","1999","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","1999","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","10"
"Number of self inflicted deaths per 1000","1999","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","1999","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","1999","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","1999","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","1999","Year","White","ONS 5+1 2001","All","All/Male/Female","-","81"
"Number of self inflicted deaths per 1000","2000","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","67"
"Number of self inflicted deaths per 1000","2000","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2000","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2000","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2000","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2000","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2000","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2000","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2000","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2000","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2000","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","9"
"Number of self inflicted deaths per 1000","2000","Year","Asian","ONS 5+1 2001","All","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2000","Year","Black","ONS 5+1 2001","All","All/Male/Female","-","8"
"Number of self inflicted deaths per 1000","2000","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2000","Year","Other","ONS 5+1 2001","All","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2000","Year","White","ONS 5+1 2001","All","All/Male/Female","-","72"
"Number of self inflicted deaths per 1000","2001","Year","White","ONS 5+1 2001","Male","All/Male/Female","-","61"
"Number of self inflicted deaths per 1000","2001","Year","Asian","ONS 5+1 2001","Male","All/Male/Female","-","2"
"Number of self inflicted deaths per 1000","2001","Year","Black","ONS 5+1 2001","Male","All/Male/Female","-","3"
"Number of self inflicted deaths per 1000","2001","Year","Mixed","ONS 5+1 2001","Male","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2001","Year","Other","ONS 5+1 2001","Male","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2001","Year","White","ONS 5+1 2001","Female","All/Male/Female","-","5"
"Number of self inflicted deaths per 1000","2001","Year","Asian","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2001","Year","Black","ONS 5+1 2001","Female","All/Male/Female","-","1"
"Number of self inflicted deaths per 1000","2001","Year","Mixed","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2001","Year","Other","ONS 5+1 2001","Female","All/Male/Female","-","0"
"Number of self inflicted deaths per 1000","2001","Year","Ethnic minorities","White/Ethnic minorities","All","All/Male/Female","-","7"
