"Ethnicity","Time","Rate per 1,000 prisoners","Number"
"Asian","2012","0.47","3"
"Asian","2013","0.93","6"
"Asian","2014","0.45","3"
"Asian","2015","0.73","5"
"Asian","2016","1.16","8"
"Asian","2017","0.72","5"
"Black","2012","0.36","4"
"Black","2013","0.74","8"
"Black","2014","0.37","4"
"Black","2015","0.28","3"
"Black","2016","0.67","7"
"Black","2017","0.09","1"
"Mixed","2012","1.57","5"
"Mixed","2013","0.62","2"
"Mixed","2014","0.58","2"
"Mixed","2015","0.86","3"
"Mixed","2016","0.83","3"
"Mixed","2017","0.53","2"
"White","2012","0.79","49"
"White","2013","0.98","60"
"White","2014","1.28","80"
"White","2015","1.23","78"
"White","2016","1.66","104"
"White","2017","0.96","60"
"Other","2012","0.00","0"
"Other","2013","0.00","0"
"Other","2014","0.00","0"
"Other","2015","1.02","1"
"Other","2016","0.00","0"
"Other","2017","1.84","2"
