"Time","Ethnicity","% of workers"
"2011","All","13.9"
"2011","Asian","14.6"
"2011","Indian","11.6"
"2011","Pakistani/ Bangladeshi","21.6"
"2011","Other Asian (inc. Chinese)","12.2"
"2011","Black","8.2"
"2011","Mixed","11.8"
"2011","White","14.0"
"2011","White British","13.8"
"2011","White Other","16.6"
"2011","Other ethnic group","18.1"
"2012","All","14.4"
"2012","Asian","16.0"
"2012","Indian","13.2"
"2012","Pakistani/ Bangladeshi","23.0"
"2012","Other Asian (inc. Chinese)","12.8"
"2012","Black","10.1"
"2012","Mixed","11.8"
"2012","White","14.4"
"2012","White British","14.1"
"2012","White Other","17.6"
"2012","Other ethnic group","17.7"
"2013","All","14.5"
"2013","Asian","15.8"
"2013","Indian","13.7"
"2013","Pakistani/ Bangladeshi","20.7"
"2013","Other Asian (inc. Chinese)","13.2"
"2013","Black","10.0"
"2013","Mixed","11.3"
"2013","White","14.5"
"2013","White British","14.2"
"2013","White Other","17.4"
"2013","Other ethnic group","17.1"
"2014","All","14.8"
"2014","Asian","15.4"
"2014","Indian","12.2"
"2014","Pakistani/ Bangladeshi","21.1"
"2014","Other Asian (inc. Chinese)","13.8"
"2014","Black","10.4"
"2014","Mixed","14.9"
"2014","White","14.8"
"2014","White British","14.6"
"2014","White Other","16.7"
"2014","Other ethnic group","20.2"
"2015","All","14.8"
"2015","Asian","16.3"
"2015","Indian","13.7"
"2015","Pakistani/ Bangladeshi","21.9"
"2015","Other Asian (inc. Chinese)","14.0"
"2015","Black","11.0"
"2015","Mixed","11.4"
"2015","White","14.8"
"2015","White British","14.6"
"2015","White Other","17.0"
"2015","Other ethnic group","16.2"
"2016","All","15.3"
"2016","Asian","16.9"
"2016","Indian","14.1"
"2016","Pakistani/ Bangladeshi","22.2"
"2016","Other Asian (inc. Chinese)","15.1"
"2016","Black","10.8"
"2016","Mixed","14.6"
"2016","White","15.2"
"2016","White British","14.9"
"2016","White Other","17.9"
"2016","Other ethnic group","18.2"
"2017","All","15.2"
"2017","Asian","17.1"
"2017","Indian","12.8"
"2017","Pakistani/ Bangladeshi","24.1"
"2017","Other Asian (inc. Chinese)","15.2"
"2017","Black","12.3"
"2017","Mixed","13.7"
"2017","White","15.1"
"2017","White British","14.8"
"2017","White Other","17.6"
"2017","Other ethnic group","17.2"
"2018","All","15.1"
"2018","Asian","15.8"
"2018","Indian","13.2"
"2018","Pakistani/ Bangladeshi","20.4"
"2018","Other Asian (inc. Chinese)","13.9"
"2018","Black","11.2"
"2018","Mixed","11.4"
"2018","White","15.1"
"2018","White British","14.9"
"2018","White Other","17.2"
"2018","Other ethnic group","19.0"
"2019","All","15.3"
"2019","Asian","17.5"
"2019","Indian","14.7"
"2019","Pakistani/ Bangladeshi","23.2"
"2019","Other Asian (inc. Chinese)","14.6"
"2019","Black","11.2"
"2019","Mixed","14.0"
"2019","White","15.2"
"2019","White British","14.9"
"2019","White Other","17.5"
"2019","Other ethnic group","20.1"
