"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Rate per 1,000 people","Numerator"
"Number of self-harm incidents per 1000","2012","Year","White","ONS 5+1 2001","325","20118"
"Number of self-harm incidents per 1000","2012","Year","Asian","ONS 5+1 2001","91","585"
"Number of self-harm incidents per 1000","2012","Year","Black","ONS 5+1 2001","65","723"
"Number of self-harm incidents per 1000","2012","Year","Mixed","ONS 5+1 2001","136","433"
"Number of self-harm incidents per 1000","2012","Year","Other","ONS 5+1 2001","157","155"
"Number of self-harm incidents per 1000","2012","Year","Not Recorded/unknown","ONS 5+1 2001","N/A","1144"
"Number of self-harm incidents per 1000","2013","Year","White","ONS 5+1 2001","326","19926"
"Number of self-harm incidents per 1000","2013","Year","Asian","ONS 5+1 2001","98","634"
"Number of self-harm incidents per 1000","2013","Year","Black","ONS 5+1 2001","72","778"
"Number of self-harm incidents per 1000","2013","Year","Mixed","ONS 5+1 2001","198","639"
"Number of self-harm incidents per 1000","2013","Year","Other","ONS 5+1 2001","213","213"
"Number of self-harm incidents per 1000","2013","Year","Not Recorded/unknown","ONS 5+1 2001","N/A","1040"
"Number of self-harm incidents per 1000","2014","Year","White","ONS 5+1 2001","363","22638"
"Number of self-harm incidents per 1000","2014","Year","Asian","ONS 5+1 2001","83","552"
"Number of self-harm incidents per 1000","2014","Year","Black","ONS 5+1 2001","72","769"
"Number of self-harm incidents per 1000","2014","Year","Mixed","ONS 5+1 2001","231","798"
"Number of self-harm incidents per 1000","2014","Year","Other","ONS 5+1 2001","185","189"
"Number of self-harm incidents per 1000","2014","Year","Not Recorded/unknown","ONS 5+1 2001","N/A","897"
"Number of self-harm incidents per 1000","2015","Year","White","ONS 5+1 2001","450","28439"
"Number of self-harm incidents per 1000","2015","Year","Asian","ONS 5+1 2001","124","851"
"Number of self-harm incidents per 1000","2015","Year","Black","ONS 5+1 2001","81","855"
"Number of self-harm incidents per 1000","2015","Year","Mixed","ONS 5+1 2001","274","960"
"Number of self-harm incidents per 1000","2015","Year","Other","ONS 5+1 2001","225","221"
"Number of self-harm incidents per 1000","2015","Year","Not Recorded/unknown","ONS 5+1 2001","N/A","987"
"Number of self-harm incidents per 1000","2016","Year","White","ONS 5+1 2001","551","34451"
"Number of self-harm incidents per 1000","2016","Year","Asian","ONS 5+1 2001","146","1004"
"Number of self-harm incidents per 1000","2016","Year","Black","ONS 5+1 2001","94","988"
"Number of self-harm incidents per 1000","2016","Year","Mixed","ONS 5+1 2001","387","1401"
"Number of self-harm incidents per 1000","2016","Year","Other","ONS 5+1 2001","347","353"
"Number of self-harm incidents per 1000","2016","Year","Not Recorded/unknown","ONS 5+1 2001","N/A","1963"
"Number of self-harm incidents per 1000","2017","Year","White","ONS 5+1 2001","621","38779"
"Number of self-harm incidents per 1000","2017","Year","Asian","ONS 5+1 2001","148","1023"
"Number of self-harm incidents per 1000","2017","Year","Black","ONS 5+1 2001","100","1069"
"Number of self-harm incidents per 1000","2017","Year","Mixed","ONS 5+1 2001","328","1233"
"Number of self-harm incidents per 1000","2017","Year","Other","ONS 5+1 2001","357","388"
"Number of self-harm incidents per 1000","2017","Year","Not Recorded/unknown","ONS 5+1 2001","N/A","2159"
"Number of self-harm incidents per 1000","2018","Year","White","ONS 5+1 2001","800","48232"
"Number of self-harm incidents per 1000","2018","Year","Asian","ONS 5+1 2001","162","1078"
"Number of self-harm incidents per 1000","2018","Year","Black","ONS 5+1 2001","118","1226"
"Number of self-harm incidents per 1000","2018","Year","Mixed","ONS 5+1 2001","390","1454"
"Number of self-harm incidents per 1000","2018","Year","Other","ONS 5+1 2001","371","446"
"Number of self-harm incidents per 1000","2018","Year","Not Recorded/unknown","ONS 5+1 2001","N/A","3179"
"Number of self-harm incidents per 1000","2019","Year","White","ONS 5+1 2001","892","53612"
"Number of self-harm incidents per 1000","2019","Year","Asian","ONS 5+1 2001","178","1176"
"Number of self-harm incidents per 1000","2019","Year","Black","ONS 5+1 2001","186","1966"
"Number of self-harm incidents per 1000","2019","Year","Mixed","ONS 5+1 2001","447","1738"
"Number of self-harm incidents per 1000","2019","Year","Other","ONS 5+1 2001","465","599"
"Number of self-harm incidents per 1000","2019","Year","Not Recorded/unknown","ONS 5+1 2001","N/A","3454"
"Number of self-harm incidents per 1000","2020","Year","White","ONS 5+1 2001","823","47457"
"Number of self-harm incidents per 1000","2020","Year","Asian","ONS 5+1 2001","197","1250"
"Number of self-harm incidents per 1000","2020","Year","Black","ONS 5+1 2001","150","1548"
"Number of self-harm incidents per 1000","2020","Year","Mixed","ONS 5+1 2001","443","1727"
"Number of self-harm incidents per 1000","2020","Year","Other","ONS 5+1 2001","344","409"
"Number of self-harm incidents per 1000","2020","Year","Not Recorded/unknown","ONS 5+1 2001","N/A","3151"
