"","White","","Black","","Asian","","Other inc Chinese","","Unknown",""
"Time","%","Value","%","Value","%","Value","%","Value","%","Value"
"2005/06","89.7","104,147","5.9","6,820","3.6","4,216","0.8","927","*N/A","6,172"
"2006/07","89.1","109,818","6.1","7,569","3.7","4,578","1.0","1,284","*N/A","8,411"
"2007/08","88.9","100,552","6.3","7,081","3.8","4,314","1.0","1,154","*N/A","7,157"
"2008/09","88.0","78,124","6.6","5,867","4.3","3,775","1.2","1,040","*N/A","4,850"
"2009/10","87.8","58,689","6.7","4,484","4.2","2,812","1.3","839","*N/A","3,910"
"2010/11","87.6","42,484","7.1","3,429","4.1","1,977","1.2","593","*N/A","2,131"
"2011/12","88.0","36,061","7.2","2,940","4.0","1,649","0.8","315","*N/A","1,248"
"2012/13","88.2","26,626","7.2","2,179","3.8","1,157","0.8","233","*N/A","1,056"
"2013/14","88.0","22,872","7.4","1,930","3.8","998","0.7","190","*N/A","1,025"
"2014/15","86.3","17,719","8.8","1,809","4.2","866","0.7","137","*N/A","1,210"
"2015/16","85.7","13,304","9.5","1,470","4.2","653","0.6","92","*N/A","1,323"
"2016/17","83.6","10,206","10.8","1,317","4.8","585","0.8","97","*N/A","1,374"
"2017/18","82.8","8,018","11.4","1,108","4.9","473","0.9","89","*N/A","1,311"
