"Ethnicity","Income","£"
"All","Gross Income","548"
"All","Benefit Income","235"
"All","Benefit Income of which State Pension","189"
"All","Benefit Income of which Income-related benefits","22"
"All","Benefit Income of which Disability benefits","18"
"All","Occupational pension","161"
"All","Personal pension","20"
"All","Investments","42"
"All","Earnings","86"
"All","Other","4"
"Asian","Gross Income","401"
"Asian","Benefit Income","207"
"Asian","Benefit Income of which State Pension","141"
"Asian","Benefit Income of which Income-related benefits","38"
"Asian","Benefit Income of which Disability benefits","17"
"Asian","Occupational pension","69"
"Asian","Personal pension","9"
"Asian","Investments","24"
"Asian","Earnings","88"
"Asian","Other","3"
"Black","Gross Income","425"
"Black","Benefit Income","213"
"Black","Benefit Income of which State Pension","142"
"Black","Benefit Income of which Income-related benefits","49"
"Black","Benefit Income of which Disability benefits","15"
"Black","Occupational pension","73"
"Black","Personal pension","4"
"Black","Investments","16"
"Black","Earnings","113"
"Black","Other","6"
"Mixed","Gross Income","553"
"Mixed","Benefit Income","234"
"Mixed","Benefit Income of which State Pension","177"
"Mixed","Benefit Income of which Income-related benefits","43"
"Mixed","Benefit Income of which Disability benefits","9"
"Mixed","Occupational pension","99"
"Mixed","Personal pension","19"
"Mixed","Investments","49"
"Mixed","Earnings","148"
"Mixed","Other","5"
"White British","Gross Income","556"
"White British","Benefit Income","237"
"White British","Benefit Income of which State Pension","192"
"White British","Benefit Income of which Income-related benefits","20"
"White British","Benefit Income of which Disability benefits","18"
"White British","Occupational pension","167"
"White British","Personal pension","21"
"White British","Investments","43"
"White British","Earnings","84"
"White British","Other","4"
"White other","Gross Income","487"
"White other","Benefit Income","215"
"White other","Benefit Income of which State Pension","151"
"White other","Benefit Income of which Income-related benefits","38"
"White other","Benefit Income of which Disability benefits","17"
"White other","Occupational pension","104"
"White other","Personal pension","18"
"White other","Investments","31"
"White other","Earnings","114"
"White other","Other","4"
"Other","Gross Income","520"
"Other","Benefit Income","226"
"Other","Benefit Income of which State Pension","144"
"Other","Benefit Income of which Income-related benefits","45"
"Other","Benefit Income of which Disability benefits","24"
"Other","Occupational pension","112"
"Other","Personal pension","7"
"Other","Investments","52"
"Other","Earnings","117"
"Other","Other","5"
