"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","Other","White & Other","N/A","N/A","Ambulance","17","%","194","1144",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","Other","White & Other","N/A","N/A","Community Provider Trust","12","%","313","2608",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","Other","White & Other","North","Grouped region","N/A","14","%","1600","11425",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","Other","White & Other","N/A","N/A","Mental Health","14","%","1904","13601",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","Other","White & Other","South","Grouped region","N/A","15","%","2257","15048",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","Other","White & Other","Midlands","Grouped region","N/A","15","%","2841","18937",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","White","White & Other","N/A","N/A","Ambulance","11","%","2134","19403",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","White","White & Other","N/A","N/A","Community Provider Trust","5","%","1097","21943",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","Other","White & Other","London","Grouped region","N/A","16","%","4940","30878",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","White","White & Other","London","Grouped region","N/A","8","%","3742","46771",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","Other","White & Other","N/A","N/A","Acute","16","%","9430","58935",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","Other","White & Other","England","Country","All","15","%","11443","76288",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","White","White & Other","N/A","N/A","Mental Health","6","%","4578","76305",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","White","White & Other","South","Grouped region","N/A","6","%","6469","107815",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","White","White & Other","Midlands","Grouped region","N/A","7","%","7612","108747",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","White","White & Other","North","Grouped region","N/A","6","%","7221","120354",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","White","White & Other","N/A","N/A","Acute","6","%","15962","266036",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","N/A","N/A","White","White & Other","England","Country","All","7","%","26858","383687",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Manchester University NHS Foundation Trust","R0A","Other","White & Other","North","Grouped region","Acute","15","%","156","1042",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Manchester University NHS Foundation Trust","R0A","White","White & Other","North","Grouped region","Acute","6","%","331","5516",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Worcestershire Health and Care NHS Trust","R1A","Other","White & Other","Midlands","Grouped region","Community Provider Trust","18","%","13","71",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Worcestershire Health and Care NHS Trust","R1A","White","White & Other","Midlands","Grouped region","Community Provider Trust","5","%","61","1222",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Solent NHS Trust","R1C","Other","White & Other","South","Grouped region","Community Provider Trust","9","%","11","120",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Solent NHS Trust","R1C","White","White & Other","South","Grouped region","Community Provider Trust","4","%","74","1842",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Shropshire Community Health NHS Trust","R1D","Other","White & Other","Midlands","Grouped region","Community Provider Trust","14","%","2","14",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Shropshire Community Health NHS Trust","R1D","White","White & Other","Midlands","Grouped region","Community Provider Trust","7","%","47","671",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Isle of Wight NHS Trust (acute sector)","R1F1","Other","White & Other","South","Grouped region","Acute","23","%","16","71",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Isle of Wight NHS Trust (acute sector)","R1F1","White","White & Other","South","Grouped region","Acute","9","%","69","771",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Isle of Wight NHS Trust (ambulance sector)","R1F2","White","White & Other","South","Grouped region","Ambulance","9","%","6","66",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Isle of Wight NHS Trust (mental health sector)","R1F3","Other","White & Other","South","Grouped region","Mental Health","9","%","1","11",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Isle of Wight NHS Trust (mental health sector)","R1F3","White","White & Other","South","Grouped region","Mental Health","9","%","15","169",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Isle of Wight NHS Trust (community sector)","R1F4","Other","White & Other","South","Grouped region","Community Provider Trust","18","%","2","11",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Isle of Wight NHS Trust (community sector)","R1F4","White","White & Other","South","Grouped region","Community Provider Trust","6","%","10","169",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Barts Health NHS Trust","R1H","White","White & Other","London","Grouped region","Acute","10","%","328","3284",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Barts Health NHS Trust","R1H","Other","White & Other","London","Grouped region","Acute","19","%","677","3564",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Gloucestershire Care Services NHS Trust","R1J","Other","White & Other","South","Grouped region","Community Provider Trust","5","%","2","38",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Gloucestershire Care Services NHS Trust","R1J","White","White & Other","South","Grouped region","Community Provider Trust","6","%","56","929",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","London North West University Healthcare NHS Trust","R1K","White","White & Other","London","Grouped region","Acute","11","%","146","1331",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","London North West University Healthcare NHS Trust","R1K","Other","White & Other","London","Grouped region","Acute","16","%","296","1850",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Essex Partnership University NHS Foundation Trust","R1L","Other","White & Other","Midlands","Grouped region","Mental Health","16","%","53","331",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Essex Partnership University NHS Foundation Trust","R1L","White","White & Other","Midlands","Grouped region","Mental Health","8","%","134","1669",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal Surrey County Hospital NHS Foundation Trust","RA2","Other","White & Other","South","Grouped region","Acute","16","%","41","254",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Royal Surrey County Hospital NHS Foundation Trust","RA2","White","White & Other","South","Grouped region","Acute","5","%","56","1110",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","2018","Weston Area Health NHS Trust","RA3","Other","White & Other","South","Grouped region","Acute","17","%","8","48",""
