"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Lower bound","Upper bound"," Sample size ","Note"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2012/13","Year","White","5+1","England","74.6","73.1","76.1","9054","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2012/13","Year","Mixed","5+1","England","58.5","48.7","67.7","171","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2012/13","Year","Asian","5+1","England","57","50.6","63.1","394","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2012/13","Year","Black","5+1","England","55.9","47.4","64","188","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2012/13","Year","Other","5+1","England","?","?","?","22","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2012/13","Year","All","5+1","England","72.7","71.5","73.9","9838","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2013/14","Year","White","5+1","England","74.1","72.6","75.5","9546","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2013/14","Year","Mixed","5+1","England","62.9","52.7","72.1","142","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2013/14","Year","Asian","5+1","England","61.5","54.7","68","404","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2013/14","Year","Black","5+1","England","50.6","42.5","58.6","203","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2013/13","Year","Other","5+1","England","65.7","50","78.6","49","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2013/14","Year","All","5+1","England","72.5","71.4","73.7","10355","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2014/15","Year","White","5+1","England","74.7","73.1","76.2","9050","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2014/15","Year","Mixed","5+1","England","70.9","60","79.9","99","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2014/15","Year","Asian","5+1","England","55.5","48.2","62.7","367","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2014/15","Year","Black","5+1","England","49.9","41.7","58.1","239","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2014/15","Year","Other","5+1","England","64","46.7","78.2","52","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2014/15","Year","All","5+1","England","72.6","71.3","73.9","9817","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2015/16","Year","White","5+1","England","75.4","74","76.7","9312","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2015/16","Year","Mixed","5+1","England","60.5","48.4","71.4","119","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2015/16","Year","Asian","5+1","England","60","53.9","65.8","434","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2015/16","Year","Black","5+1","England","51.8","44.7","58.9","242","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2015/16","Year","Other","5+1","England","52.2","35.5","68.4","55","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2015/16","Year","All","5+1","England","73.2","71.9","74.5","10171","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2016/17","Year","White","5+1","England","76.7","75.3","78","8473","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2016/17","Year","Mixed","5+1","England","68.8","58.9","77.3","170","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2016/17","Year","Asian","5+1","England","59.4","53.6","64.9","423","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2016/17","Year","Black","5+1","England","47.1","40","54.3","242","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2016/17","Year","Other","5+1","England","?","?","?","27","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2016/17","Year","All","5+1","England","74.2","72.7","75.7","9352","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2017/18","Year","White","5+1","England","76","74.4","77.5","6854","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2017/18","Year","Mixed","5+1","England","74.6","64.7","82.5","144","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2017/18","Year","Asian","5+1","England","54.4","48","60.7","397","Taking Part Survey"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2017/18","Year","Black","5+1","England","38.6","29.8","48.3","203","Taking Part Survey"
