"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Note"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","27,159",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","23,020",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","21,742",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","1,278",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","14","296",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","17","2,154",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","794",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","19","143",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","12","6,114",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2015-2019","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All Children","All/Children/Working-age adults/pensioners","11","4,778",""
