"Age Bracket","Ethnicity","%","Number of respondents"
"All","All","13","27,159"
"All","Asian","22","2,154"
"All","Black","25","794"
"All","Mixed","22","296"
"All","White","12","23,020"
"All","White British","12","21,742"
"All","White other","14","1,278"
"All","Other","36","143"
"Children","All","19","6,114"
"Children","Asian","33","791"
"Children","Black","31","247"
"Children","Mixed","?","92"
"Children","White","17","4,778"
"Children","White British","17","4,457"
"Children","White other","23","321"
"Children","Other","?","47"
"Working-age adults","All","11","14,719"
"Working-age adults","Asian","17","1,220"
"Working-age adults","Black","21","453"
"Working-age adults","Mixed","20","179"
"Working-age adults","White","10","12,335"
"Working-age adults","White British","10","11,632"
"Working-age adults","White other","10","703"
"Working-age adults","Other","?","78"
"Pensioners","All","11","6,326"
"Pensioners","Asian","12","143"
"Pensioners","Black","?","94"
"Pensioners","Mixed","?","25"
"Pensioners","White","11","5,907"
"Pensioners","White British","10","5,653"
"Pensioners","White other","15","254"
"Pensioners","Other","?","18"
