"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Upper bound","Lower bound","Number of respondents",""
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2012/13","Year","White","ONS 2011 5+1 ","England","79.5","80.5","78.4","9054","2.1"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2012/13","Year","Mixed","ONS 2011 5+1 ","England","79.1","85.8","70.3","171","15.5"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2012/13","Year","Asian","ONS 2011 5+1","England","66","72.2","59.2","394","13"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2012/13","Year","Black","ONS 2011 5+1","England","73.4","80.6","64.6","188","16"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2012/13","Year","Other","ONS 2011 5+1","England","?","?","?","22","#VALUE!"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2012/13","Year","All","ONS 2011 5+1","England","78.4","79.5","77.4","9,838","2.1"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2013/14","Year","White","ONS 2011 5+1 ","England","78.5","79.5","77.4","9546","2.1"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2013/14","Year","Mixed","ONS 2011 5+1 ","England","82.9","89.9","72.6","142","17.3"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2013/14","Year","Asian","ONS 2011 5+1","England","65.2","72.2","57.5","404","14.7"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2013/14","Year","Black","ONS 2011 5+1","England","72.8","79.6","64.8","203","14.8"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2013/14","Year","Other","ONS 2011 5+1","England","74.9","85.6","59.8","49","25.8"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2013/14","Year","All","ONS 2011 5+1","England","77.5","78.6","76.5","10,355","2.1"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2014/15","Year","White","ONS 2011 5+1 ","England","77.9","79.1","76.6","9,050","2.5"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2014/15","Year","Mixed","ONS 2011 5+1 ","England","80","87.3","70","99","17.3"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2014/15","Year","Asian","ONS 2011 5+1","England","66.7","74.4","58.1","367","16.3"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2014/15","Year","Black","ONS 2011 5+1","England","66.7","74.3","58.1","239","16.2"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2014/15","Year","Other","ONS 2011 5+1","England","66.8","79.6","50.9","52","28.7"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2014/15","Year","All","ONS 2011 5+1","England","76.8","78","75.6","9,817","2.4"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2015/16","Year","White","ONS 2011 5+1","England","77.6","78.8","76.3","9,312","2.5"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2015/16","Year","Mixed","ONS 2011 5+1","England","81.8","88.8","72","119","16.8"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2015/16","Year","Asian","ONS 2011 5+1","England","59.3","65.6","52.6","434","13"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2015/16","Year","Black","ONS 2011 5+1","England","69.7","76.6","61.7","242","14.9"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2015/16","Year","Other","ONS 2011 5+1","England","72.3","82.7","58.8","55","23.9"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2015/16","Year","All","ONS 2011 5+1","England","76.1","77.3","74.9","10,171","2.4"
"Proportion of adults (16+) who have engaged with the arts in the last 12 months","2016/17","Year","White","ONS 2011 5+1","England","78.5","79.8","77.1","8473","2.7"
