"Ethnicity","Local authority","Score","Pupils"
"All","Barking and Dagenham","46.7","2,185"
"All","Barnet","54.7","3,528"
"All","Barnsley","44.0","2,110"
"All","Bath and North East Somerset","47.5","2,001"
"All","Bedford","45.9","1,827"
"All","Bexley","49.0","3,141"
"All","Birmingham","46.1","12,127"
"All","Blackburn with Darwen","46.4","1,746"
"All","Blackpool","38.8","1,190"
"All","Bolton","43.7","3,263"
"All","Bournemouth","48.0","1,611"
"All","Bracknell Forest","46.3","1,119"
"All","Bradford","42.4","5,786"
"All","Brent","49.0","2,908"
"All","Brighton and Hove","46.8","2,197"
"All","Bristol, City of","44.0","3,236"
"All","Bromley","49.8","3,258"
"All","Buckinghamshire","52.9","5,599"
"All","Bury","46.0","2,120"
"All","Calderdale","48.2","2,475"
"All","Cambridgeshire","47.7","5,635"
"All","Camden","48.3","1,513"
"All","Central Bedfordshire","45.5","2,591"
"All","Cheshire East","48.9","3,582"
"All","Cheshire West and Chester","46.5","3,328"
"All","City of London","N/A","N/A"
"All","Cornwall","45.7","5,133"
"All","County Durham","44.6","4,608"
"All","Coventry","42.8","3,374"
"All","Croydon","45.0","3,579"
"All","Cumbria","46.3","4,915"
"All","Darlington","45.3","1,066"
"All","Derby","42.6","2,741"
"All","Derbyshire","45.6","7,249"
"All","Devon","46.5","6,704"
"All","Doncaster","43.6","2,996"
"All","Dorset","45.2","3,988"
"All","Dudley","43.7","3,484"
"All","Ealing","48.7","2,722"
"All","East Riding of Yorkshire","47.2","3,370"
"All","East Sussex","45.3","4,812"
"All","Enfield","46.2","3,487"
"All","Essex","46.7","14,378"
"All","Gateshead","46.8","1,909"
"All","Gloucestershire","48.4","6,165"
"All","Greenwich","45.9","2,166"
"All","Hackney","49.4","2,002"
"All","Halton","44.9","1,395"
"All","Hammersmith and Fulham","50.9","1,313"
"All","Hampshire","47.0","12,740"
"All","Haringey","46.5","2,127"
"All","Harrow","49.7","2,049"
"All","Hartlepool","44.0","976"
"All","Havering","47.5","2,794"
"All","Herefordshire, County of","45.7","1,718"
"All","Hertfordshire","49.7","12,734"
"All","Hillingdon","47.1","3,075"
"All","Hounslow","48.0","2,641"
"All","Isle of Wight","40.1","1,251"
"All","Isles of Scilly","45.0","19"
"All","Islington","45.6","1,377"
"All","Kensington and Chelsea","55.0","739"
"All","Kent","46.3","15,407"
"All","Kingston upon Hull, City of","42.6","2,253"
"All","Kingston upon Thames","55.5","1,517"
"All","Kirklees","45.3","4,383"
"All","Knowsley","37.6","978"
"All","Lambeth","44.3","1,949"
"All","Lancashire","45.7","12,078"
"All","Leeds","45.1","7,427"
"All","Leicester","42.8","3,310"
"All","Leicestershire","45.7","6,867"
"All","Lewisham","44.2","2,247"
"All","Lincolnshire","46.4","7,549"
"All","Liverpool","44.2","4,467"
"All","Luton","43.5","2,433"
