"","FSM","","Non-FSM",""
"Ethnicity","Score","Pupils","Score","Pupils"
"All","35.0","69,261","48.0","458,598"
"Asian","43.3","8,824","51.1","43,963"
"Bangladeshi","46.3","2,438","51.3","6,436"
"Indian","46.5","1,016","56.1","12,952"
"Pakistani","40.8","4,302","46.1","17,021"
"Asian other","43.5","1,068","53.6","7,554"
"Black","39.7","6,076","46.1","21,846"
"Black African","42.1","3,777","48.2","13,689"
"Black Caribbean","35.2","1,574","42.0","5,523"
"Black other","37.2","725","44.2","2,634"
"Chinese","58.0","131","62.9","1,942"
"Mixed","36.7","4,297","49.3","19,186"
"Mixed White/Asian","37.6","723","54.1","4,424"
"Mixed White/Black African","39.8","541","48.8","2,173"
"Mixed White/Black Caribbean","32.7","1,598","43.8","5,440"
"Mixed other","39.6","1,435","50.7","7,149"
"White","32.3","46,985","47.7","359,357"
"White British","32.1","44,106","47.8","334,002"
"White Irish","32.6","194","54.1","1,482"
"Gypsy/Roma","17.9","325","18.0","748"
"Irish Traveller","19.4","66","29.3","52"
"White other","39.8","2,294","47.1","23,073"
"Other","42.4","2,012","48.2","6,429"
"Unknown","32.4","936","41.1","5,875"
