"Measure","Academic_Year","Time","Time_type","Ethnicity","Ethnicity_Type","Geography","Geography_type","ONS_Geography_code","Gender","FSM","Value","Denominator"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","46.6","521202"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","England","Country","E92000001","Boys","All Pupils","43.9","265434"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","England","Country","E92000001","Girls","All Pupils","49.4","255768"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","50.7","55183"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","48.3","28172"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All Pupils","53.1","27011"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","45.3","28609"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","41.7","14129"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All Pupils","48.8","14480"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","64.5","1856"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","62.3","890"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All Pupils","66.5","966"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","47.4","24531"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","44.7","12377"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All Pupils","50.2","12154"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","46.1","395716"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","43.5","201945"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All Pupils","48.9","193771"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","North East","Region","E12000001","All Pupils","All Pupils","44.9","24838"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","North East","Region","E12000001","Boys","All Pupils","42.4","12700"
"Average Attainment 8 score per pupil","2017/18","2018","Academic Year","All Pupils","All pupils","North East","Region","E12000001","Girls","All Pupils","47.6","12138"
